"","metric","ThresholdNAT_Lower","ThresholdNAT_Upper","ThresholdNATMed_Lower","ThresholdNATMed_Upper","ThresholdNATLow_Lower","ThresholdNATLow_Upper","ThresholdNATHigh_Lower","ThresholdNATHigh_Upper","ThresholdHB_Lower","ThresholdHB_Upper","ThresholdSB0_Lower","ThresholdSB0_Upper","ThresholdSB1_Lower","ThresholdSB1_Upper","ThresholdSB2_Lower","ThresholdSB2_Upper","n","Index","Hydro_endpoint","SmoothingFunc"
"1","d_ds_mag_50",-10.7138647980125,10.3609923839238,-10.7138647980125,10.3609923839238,-28.474045758088,78.8156727826333,NA,NA,-24.4146852806944,29.2186977663974,-12.0861109589704,11.6818028757938,-10.7138647980125,10.3609923839238,-15.8037617728112,15.4734295507655,64955,"csci","DS_Mag_50",6
"2","d_fa_mag",-113.04758908119,67.5959428696591,-113.04758908119,67.5959428696591,NA,258.041463999825,NA,NA,-213.818430104633,196.039744668808,-123.169581177119,77.8550398332423,-113.04758908119,67.5959428696591,-150.469678349211,107.422086942585,52340,"csci","FA_Mag",6
"3","d_peak_10",-2406.52811605249,3918.07351700487,-2406.52811605249,3918.07351700487,NA,7172.97207210541,NA,NA,NA,6457.04077210778,-3022.96154841128,4183.87347270509,-2406.52811605249,3918.07351700487,-14818.5427820515,4888.9717690355,95245,"csci","Peak_10",6
"4","d_peak_2",-1230.88294709613,524.783859526413,-1230.88294709613,524.783859526413,-3447.84839024863,1570.25241573874,NA,NA,-2502.64689005328,1333.56522827593,-1331.59794425161,604.759167771872,-1230.88294709613,524.783859526413,-1623.11278299025,823.721326300524,93905,"csci","Peak_2",6
"5","d_peak_5",-1933.48233788985,3116.60566199112,-1933.48233788985,3116.60566199112,NA,NA,NA,NA,NA,NA,-2355.42111507415,3381.11324945197,-1933.48233788985,3116.60566199112,-4233.61177368946,4098.98984864703,110350,"csci","Peak_5",6
"6","d_sp_mag",NA,653.856558838459,NA,653.856558838459,NA,1940.06702776714,NA,NA,NA,1660.4781494307,NA,761.340359499839,NA,653.856558838459,NA,1043.0842674,62175,"csci","SP_Mag",3
"7","d_wet_bfl_mag_10",-15.2295007805454,8.42973373728506,-15.2295007805454,8.42973373728506,-34.9202133371951,NA,NA,NA,-29.0355877864622,NA,-16.3786211205846,9.71553212365525,-15.2295007805454,8.42973373728506,-19.6806316449651,13.9219507520692,300935,"csci","Wet_BFL_Mag_10",6
"8","d_wet_bfl_mag_50",-318.425589924261,37.8791267463341,-318.425589924261,37.8791267463341,NA,NA,NA,NA,NA,NA,-326.605585487361,42.8044027082691,-318.425589924261,37.8791267463341,-348.737882790292,57.2183516160699,407610,"csci","Wet_BFL_Mag_50",6
"9","delta_q99",-1878.80032469536,NA,-1878.80032469536,NA,-9901.70152502702,NA,NA,NA,-7895.97431245438,NA,-2380.23111327146,NA,-1878.80032469536,NA,-3884.52383593113,NA,182100,"csci","Q99",3
