"","Index","FlowMetric","Impact","Hard Bottom","Natural","Soft Bottom (no hard sides)","Soft Bottom (two hard sides)"
"1","csci","Dry-season median baseflow","HBLS",1.33333333333333,16.9230769230769,0,0
"2","csci","Dry-season median baseflow","HBUS",1.33333333333333,33.0769230769231,7.14285714285714,6.89655172413793
"3","csci","Dry-season median baseflow","UBLS",32,16.5384615384615,42.8571428571429,44.8275862068966
"4","csci","Dry-season median baseflow","UBUS",46.6666666666667,30.7692307692308,35.7142857142857,44.8275862068966
"5","csci","Dry-season median baseflow","UBVLS",18.6666666666667,2.30769230769231,14.2857142857143,3.44827586206897
"6","csci","Dry-season median baseflow","HBVLS",0,0.384615384615385,0,0
"7","csci","Fall pulse magnitude","HBLS",1.33333333333333,19.6153846153846,0,0
"8","csci","Fall pulse magnitude","HBUS",1.33333333333333,30.3846153846154,7.14285714285714,6.89655172413793
"9","csci","Fall pulse magnitude","UBLS",21.3333333333333,24.6153846153846,21.4285714285714,24.1379310344828
"10","csci","Fall pulse magnitude","UBUS",46.6666666666667,24.6153846153846,57.1428571428571,48.2758620689655
"11","csci","Fall pulse magnitude","UBVLS",29.3333333333333,0.384615384615385,14.2857142857143,20.6896551724138
"12","csci","Fall pulse magnitude","HBVLS",0,0.384615384615385,0,0
"13","csci","10-year flood magnitude","HBLS",1.33333333333333,42.3076923076923,7.14285714285714,0
"14","csci","10-year flood magnitude","HBUS",1.33333333333333,8.07692307692308,0,6.89655172413793
"15","csci","10-year flood magnitude","UBLS",36,46.5384615384615,57.1428571428571,37.9310344827586
"16","csci","10-year flood magnitude","UBUS",60,2.69230769230769,28.5714285714286,37.9310344827586
"17","csci","10-year flood magnitude","UBVLS",1.33333333333333,0.384615384615385,7.14285714285714,17.2413793103448
"18","csci","2-year flood magnitude","HBUS",2.66666666666667,0,0,6.89655172413793
"19","csci","2-year flood magnitude","UBLS",2.66666666666667,48.0769230769231,85.7142857142857,13.7931034482759
"20","csci","2-year flood magnitude","UBUS",94.6666666666667,0,0,62.0689655172414
"21","csci","2-year flood magnitude","HBLS",0,50.3846153846154,7.14285714285714,0
"22","csci","2-year flood magnitude","UBVLS",0,1.53846153846154,7.14285714285714,17.2413793103448
"23","csci","5-year flood magnitude","HBLS",1.33333333333333,31.5384615384615,7.14285714285714,0
"24","csci","5-year flood magnitude","HBUS",1.33333333333333,18.8461538461538,0,6.89655172413793
"25","csci","5-year flood magnitude","UBLS",29.3333333333333,34.6153846153846,85.7142857142857,34.4827586206897
"26","csci","5-year flood magnitude","UBUS",66.6666666666667,15,0,41.3793103448276
"27","csci","5-year flood magnitude","UBVLS",1.33333333333333,0,7.14285714285714,17.2413793103448
"28","csci","Magnitude of largest annual storm","HBLS",1.33333333333333,42.6923076923077,7.14285714285714,6.89655172413793
"29","csci","Magnitude of largest annual storm","HBUS",1.33333333333333,7.69230769230769,0,0
"30","csci","Magnitude of largest annual storm","UBLS",21.3333333333333,37.6923076923077,50,48.2758620689655
"31","csci","Magnitude of largest annual storm","UBUS",74.6666666666667,11.9230769230769,35.7142857142857,27.5862068965517
"32","csci","Magnitude of largest annual storm","UBVLS",1.33333333333333,0,7.14285714285714,17.2413793103448
"33","csci","Spring recession magnitude","HBUS",2.66666666666667,0,0,6.89655172413793
"34","csci","Spring recession magnitude","UBLS",2.66666666666667,49.6153846153846,92.8571428571429,75.8620689655172
"35","csci","Spring recession magnitude","UBUS",94.6666666666667,0,0,17.2413793103448
"36","csci","Spring recession magnitude","HBLS",0,50.3846153846154,7.14285714285714,0
"37","csci","Wet-season low baseflow","HBUS",2.66666666666667,18.0769230769231,7.14285714285714,6.89655172413793
"38","csci","Wet-season low baseflow","UBLS",40,38.0769230769231,50,20.6896551724138
"39","csci","Wet-season low baseflow","UBUS",54.6666666666667,10.7692307692308,35.7142857142857,55.1724137931034
"40","csci","Wet-season low baseflow","UBVLS",2.66666666666667,0.769230769230769,7.14285714285714,17.2413793103448
"41","csci","Wet-season low baseflow","HBLS",0,31.9230769230769,0,0
"42","csci","Wet-season low baseflow","HBVLS",0,0.384615384615385,0,0
"43","csci","Wet-season median baseflow","HBUS",2.66666666666667,0,0,6.89655172413793
"44","csci","Wet-season median baseflow","UBLS",28,49.6153846153846,85.7142857142857,31.0344827586207
"45","csci","Wet-season median baseflow","UBUS",69.3333333333333,0,0,62.0689655172414
"46","csci","Wet-season median baseflow","HBLS",0,50.3846153846154,7.14285714285714,0
"47","csci","Wet-season median baseflow","UBVLS",0,0,7.14285714285714,0
