"","masterid","sampleyear","MetricValue","deltah_final","hydro.endpoints","ChannelType","csci_Incr","RelChangeInDeltaINC","Threshold","Lower","Upper","NoFlowProblem","HealthyCSCI","RelChangeInDelta","Categories","MaxScore"
"1454","403S05291",2010,1.12972371,66.7811225441226,"Peak_10","NAT",1.22972371,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.12972371
"1455","403STC090",2003,0.92532684,234.348008724609,"Peak_10","SB2",1.02532684,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.92532684
"1456","403STC090",2003,0.92532684,234.348008724609,"Peak_10","SB2",1.02532684,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","Yes",NA,"Type X",0.92532684
"1457","412LAR004",2005,0.34315656,65.3857344322345,"Peak_10","HB",0.44315656,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.34315656
"1458","412LAR004",2005,0.34315656,65.3857344322345,"Peak_10","HB",0.44315656,0,"HB",-51409.3499565775,6457.04077210778,"Yes","No",NA,"Type D",0.34315656
"1459","801RB8494",2017,0.76319486,-11604.8748160173,"Peak_10","NAT",0.86319486,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",79.2627826305291,"Type D",0.76319486
"1460","403STC009",2003,1.02928517,732.084404428902,"Peak_10","NAT",1.12928517,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.02928517
"1461","403WE0891",2001,1.07390852,43.8282533799534,"Peak_10","NAT",1.17390852,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.07390852
"1462","801M15547",2019,0.61889923,4123.62601318681,"Peak_10","NAT",0.71889923,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",4.98475117589739,"Type B",0.61889923
"1463","901SJMS1x",2008,1.06150813,441.536939860141,"Peak_10","NAT",1.16150813,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.06150813
"1464","901SJSMT2",2008,0.94873387,84.9829368964367,"Peak_10","NAT",1.04873387,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.94873387
"1465","901SMCSMR",2001,0.81984942,-147.666067166167,"Peak_10","NAT",0.91984942,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.81984942
"1466","904AHC004",2010,0.61083141,123.133663736264,"Peak_10","SB0",0.71083141,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.61083141
"1467","904AHC004",2010,0.61083141,123.133663736264,"Peak_10","SB0",0.71083141,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","No",NA,"Type D",0.61083141
"1468","907SDSVC3",2009,0.68156257,-19.4552224442224,"Peak_10","NAT",0.78156257,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.68156257
"1469","SMC01372",2010,0.71244617,-1591.14196623377,"Peak_10","NAT",0.81244617,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.71244617
"1470","403STC025",2003,1.04789264,78.5476074259074,"Peak_10","NAT",1.14789264,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.04789264
"1471","403STC064",2016,0.64641286,76.0077647352648,"Peak_10","NAT",0.74641286,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.64641286
"1472","405BH3Bxx",2010,0.99578089,-760.401035664336,"Peak_10","SB1",1.09578089,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.99578089
"1473","405BH3Bxx",2010,0.99578089,-760.401035664336,"Peak_10","SB1",1.09578089,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","Yes",NA,"Type X",0.99578089
"1474","408BH5Bxx",2010,0.68784954,-353.213931501831,"Peak_10","SB1",0.78784954,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.68784954
"1475","408BH5Bxx",2010,0.68784954,-353.213931501831,"Peak_10","SB1",0.78784954,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","No",NA,"Type D",0.68784954
"1476","801CYC114",2013,1.1524091,-58.2168370629369,"Peak_10","SB1",1.2524091,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.1524091
"1477","801CYC114",2013,1.1524091,-58.2168370629369,"Peak_10","SB1",1.2524091,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","Yes",NA,"Type X",1.1524091
"1478","802INC172",2006,0.63126862,201.629000399601,"Peak_10","NAT",0.73126862,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.63126862
"1479","903GIR2xx",2004,0.69139396,22.9094172494172,"Peak_10","NAT",0.79139396,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.69139396
"1480","905SDYSA7",2008,0.87343112,-831.645782650683,"Peak_10","NAT",0.97343112,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.87343112
"1481","403STC016",2003,0.74745256,-5244.05474741923,"Peak_10","NAT",0.84745256,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",54.1094013704411,"Type D",0.74745256
"1482","801STW208",2007,0.72202169,-1034.98065777556,"Peak_10","NAT",0.82202169,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.72202169
"1483","905BCN1xx",2008,0.70034994,117.92972027972,"Peak_10","NAT",0.80034994,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.70034994
"1484","402SNPMCR",2018,0.61597328,235.977542957043,"Peak_10","NAT",0.71597328,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.61597328
"1485","403STCEST",2003,0.493873,-4996.90519663667,"Peak_10","NAT",0.593873,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",51.8396283028887,"Type D",0.493873
"1486","403WE0501",2013,0.83301035,116.64274012654,"Peak_10","NAT",0.93301035,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.83301035
"1487","405BH2Axx",2010,1.13695339,-215.840048717949,"Peak_10","NAT",1.23695339,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.13695339
"1488","408BH5Axx",2010,0.88556513,-353.213931501831,"Peak_10","SB1",0.98556513,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.88556513
"1489","408BH5Axx",2010,0.88556513,-353.213931501831,"Peak_10","SB1",0.98556513,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","Yes",NA,"Type X",0.88556513
"1490","801MIC370",2014,0.80551446,-619.667207972979,"Peak_10","NAT",0.90551446,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.80551446
"1491","802SJC453",2011,0.69488479,359.464258841159,"Peak_10","NAT",0.79488479,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.69488479
"1492","901SJSJC9",2008,0.57116122,-189.729170329671,"Peak_10","SB2",0.67116122,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.57116122
"1493","901SJSJC9",2008,0.57116122,-189.729170329671,"Peak_10","SB2",0.67116122,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","No",NA,"Type D",0.57116122
"1494","903SLFRCx",2017,0.71294109,4482.04940422911,"Peak_10","NAT",0.81294109,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",12.5829913140201,"Type D",0.71294109
"1495","907SDRMTx",2005,0.51352897,-2958.38658917749,"Peak_10","NAT",0.61352897,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",18.6540351130523,"Type D",0.51352897
"1496","SGUT503",2016,1.1433064,-36.2096913419912,"Peak_10","NAT",1.2433064,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.1433064
"1497","403STC070",2003,1.13255208,66.7811225441226,"Peak_10","NAT",1.23255208,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.13255208
"1498","801XXX112",2012,1.02797662,-1024.1636001332,"Peak_10","NAT",1.12797662,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.02797662
"1499","SMC00873",2020,0.64896418,211.472424309024,"Peak_10","NAT",0.74896418,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.64896418
"1500","901BCCBCT",2001,0.67381495,472.536384815186,"Peak_10","NAT",0.77381495,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.67381495
"1501","907CONECR",2012,0.92186874,-5.09188028638021,"Peak_10","NAT",1.02186874,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.92186874
"1502","907M23349",2018,0.35105982,6702.4231202797,"Peak_10","NAT",0.45105982,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",41.5424325398101,"Type D",0.35105982
"1503","901M14145",2019,0.59089766,-189.729170329671,"Peak_10","SB2",0.69089766,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.59089766
"1504","901M14145",2019,0.59089766,-189.729170329671,"Peak_10","SB2",0.69089766,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","No",NA,"Type D",0.59089766
"1505","902S00565",2021,0.98664588,-5523.68202014652,"Peak_10","NAT",1.08664588,0,"NAT",-2406.52811605249,3918.07351700487,"No","Yes",56.4325370780729,"Type X",0.98664588
"1506","901S00531",2022,0.41662551,-788.263843656344,"Peak_10","HB",0.51662551,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.41662551
"1507","901S00531",2022,0.41662551,-788.263843656344,"Peak_10","HB",0.51662551,0,"HB",-51409.3499565775,6457.04077210778,"Yes","No",NA,"Type D",0.41662551
"1508","801BBGC02",2019,0.65215395,106.115493173493,"Peak_10","NAT",0.75215395,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.65215395
"1509","408S00660",2020,0.62962488,-1251.21565294705,"Peak_10","SB2",0.72962488,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.62962488
"1510","408S00660",2020,0.62962488,-1251.21565294705,"Peak_10","SB2",0.72962488,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","No",NA,"Type D",0.62962488
"1511","902S01097",2020,1.01277203,217.320427072927,"Peak_10","NAT",1.11277203,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.01277203
"1512","907S01418",2021,1.04368813,-116.69440995671,"Peak_10","NAT",1.14368813,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.04368813
"1513","904S01814",2010,0.46644413,-1902.24025061605,"Peak_10","NAT",0.56644413,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.46644413
"1514","907S11430",2012,0.86676941,38.3777167166167,"Peak_10","SB2",0.96676941,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.86676941
"1515","907S11430",2012,0.86676941,38.3777167166167,"Peak_10","SB2",0.96676941,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","Yes",NA,"Type X",0.86676941
"1516","909S14218",2012,0.9963932,20.9546423576424,"Peak_10","NAT",1.0963932,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.9963932
"1517","403S00064",2022,0.76875115,191.134883283383,"Peak_10","NAT",0.86875115,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.76875115
"1518","904CBSAM5",2010,0.83296807,7.80064925074924,"Peak_10","NAT",0.93296807,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.83296807
"1519","403S00171",2008,1.05577237,5670.0895044289,"Peak_10","NAT",1.15577237,0,"NAT",-2406.52811605249,3918.07351700487,"No","Yes",30.8992651007631,"Type X",1.05577237
"1520","402S00287",2008,1.04057469,7380.99581018978,"Peak_10","NAT",1.14057469,0,"NAT",-2406.52811605249,3918.07351700487,"No","Yes",46.9167356578661,"Type X",1.04057469
"1521","SMC01567",2017,0.71011193,223.988348651349,"Peak_10","NAT",0.81011193,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.71011193
"1522","402S00079",2008,0.79458746,-24.2012617382618,"Peak_10","NAT",0.89458746,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.79458746
"1523","SMC00899",2023,0.32947312,-508.551398701299,"Peak_10","HB",0.42947312,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.32947312
"1524","SMC00899",2023,0.32947312,-508.551398701299,"Peak_10","HB",0.42947312,0,"HB",-51409.3499565775,6457.04077210778,"Yes","No",NA,"Type D",0.32947312
"1525","845M10616",2023,0.49778274,-3400.96546421198,"Peak_10","SB0",0.59778274,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",29.2398543479449,"Type D",0.49778274
"1526","845M10616",2023,0.49778274,-3400.96546421198,"Peak_10","SB0",0.59778274,0,"SB2",-14818.5427820515,4888.9717690355,"No","No",335.715767713185,"Type D",0.49778274
"1527","SMC04054",2023,0.75051437,-176.365327872128,"Peak_10","NAT",0.85051437,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.75051437
"1528","909WE1014",2023,0.81704304,20.9546423576424,"Peak_10","NAT",0.91704304,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.81704304
"1529","SMC00473",2023,0.64477744,-1753.53387232767,"Peak_10","NAT",0.74477744,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.64477744
"1530","405S03280",2019,1.00631584,-138.439805561106,"Peak_10","NAT",1.10631584,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.00631584
"1531","404R4S050",2021,0.75551953,-335.558602164502,"Peak_10","NAT",0.85551953,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.75551953
"1532","408S00036",2020,0.50006549,4637.59264875124,"Peak_10","SB2",0.60006549,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",15.5149273824236,"Type D",0.50006549
"1533","408S00036",2020,0.50006549,4637.59264875124,"Peak_10","SB2",0.60006549,0,"SB2",-14818.5427820515,4888.9717690355,"No","No",5.42046573133043,"Type C",0.50006549
"1534","911M24982",2022,1.18201417,19.8215393273394,"Peak_10","NAT",1.28201417,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.18201417
"1535","906M23430",2022,0.76928782,-58.5383185148188,"Peak_10","NAT",0.86928782,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.76928782
"1536","901M14169",2022,0.65997475,4619.27662487512,"Peak_10","NAT",0.75997475,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",15.179933240937,"Type D",0.65997475
"1537","901M14155",2021,0.6887478,247.842993306693,"Peak_10","NAT",0.7887478,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.6887478
"1538","901M14153",2020,0.68654693,-189.729170329671,"Peak_10","SB2",0.78654693,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.68654693
"1539","901M14153",2020,0.68654693,-189.729170329671,"Peak_10","SB2",0.78654693,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","No",NA,"Type D",0.68654693
"1540","412M08663",2021,0.82196411,-5916.49087179486,"Peak_10","SB1",0.92196411,0,"NAT",-2406.52811605249,3918.07351700487,"No","Yes",59.325076836932,"Type X",0.82196411
"1541","412M08663",2021,0.82196411,-5916.49087179486,"Peak_10","SB1",0.92196411,0,"SB2",-14818.5427820515,4888.9717690355,"No","Yes",150.46168587354,"Type X",0.82196411
"1542","412M08662",2021,0.3591639,-2014.90104598734,"Peak_10","HB",0.4591639,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.3591639
"1543","412M08662",2021,0.3591639,-2014.90104598734,"Peak_10","HB",0.4591639,0,"HB",-51409.3499565775,6457.04077210778,"Yes","No",NA,"Type D",0.3591639
"1544","412M08659",2020,0.59525555,-7159.53343373293,"Peak_10","HB",0.69525555,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",66.3870818074001,"Type D",0.59525555
"1545","412M08659",2020,0.59525555,-7159.53343373293,"Peak_10","HB",0.69525555,0,"HB",-51409.3499565775,6457.04077210778,"No","No",618.054471459784,"Type D",0.59525555
"1546","801M16704",2023,0.50699475,1249.46873609724,"Peak_10","NAT",0.60699475,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.50699475
"1547","403WE0795",2022,0.83922816,47.1125624708625,"Peak_10","NAT",0.93922816,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.83922816
"1548","403WE0746",2021,1.07092158,242.253312087913,"Peak_10","SB1",1.17092158,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.07092158
"1549","403WE0746",2021,1.07092158,242.253312087913,"Peak_10","SB1",1.17092158,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","Yes",NA,"Type X",1.07092158
"1550","SMC02127",2023,0.57393154,75.4189653679654,"Peak_10","NAT",0.67393154,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.57393154
"1551","403S00772",2023,0.62934064,-927.936500499501,"Peak_10","NAT",0.72934064,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.62934064
"1552","402S00143",2023,0.6506175,-282.242069264069,"Peak_10","NAT",0.7506175,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.6506175
"1553","402S00095",2023,0.73523364,464.483277522478,"Peak_10","NAT",0.83523364,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.73523364
"1554","ME-VR2",2023,0.71183711,1163.91516483516,"Peak_10","SB1",0.81183711,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.71183711
"1555","ME-VR2",2023,0.71183711,1163.91516483516,"Peak_10","SB1",0.81183711,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","No",NA,"Type D",0.71183711
"1556","402M00177",2023,0.55453715,235.977542957043,"Peak_10","NAT",0.65453715,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.55453715
"1557","402M00158",2023,0.71077223,17.393842857143,"Peak_10","NAT",0.81077223,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.71077223
"1558","SMC00318",2022,0.51236945,-17043.3586848152,"Peak_10","HB",0.61236945,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",85.8799655598601,"Type D",0.51236945
"1559","SMC00318",2022,0.51236945,-17043.3586848152,"Peak_10","HB",0.61236945,0,"HB",-51409.3499565775,6457.04077210778,"No","No",201.638608371135,"Type D",0.51236945
"1560","801M15406",2017,0.28899614,-1139.9085001665,"Peak_10","HB",0.38899614,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.28899614
"1561","801M15406",2017,0.28899614,-1139.9085001665,"Peak_10","HB",0.38899614,0,"HB",-51409.3499565775,6457.04077210778,"Yes","No",NA,"Type D",0.28899614
"1562","801M15389",2017,0.29291407,-5113.79148841159,"Peak_10","HB",0.39291407,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",52.9404333065604,"Type D",0.29291407
"1563","801M15389",2017,0.29291407,-5113.79148841159,"Peak_10","HB",0.39291407,0,"HB",-51409.3499565775,6457.04077210778,"No","No",905.307902621307,"Type D",0.29291407
"1564","403WE0560",2022,0.76885337,162.844723776224,"Peak_10","NAT",0.86885337,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.76885337
"1565","403WE0534",2019,0.87905821,-179.970386613387,"Peak_10","NAT",0.97905821,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.87905821
"1566","402WE0536",2021,1.0194064,262.788395238095,"Peak_10","NAT",1.1194064,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",1.0194064
"1567","412WE0552",2022,0.96372765,31.229194843252,"Peak_10","NAT",1.06372765,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.96372765
"1568","412PS0020",2022,0.40638526,-376.264663569763,"Peak_10","HB",0.50638526,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.40638526
"1569","412PS0020",2022,0.40638526,-376.264663569763,"Peak_10","HB",0.50638526,0,"HB",-51409.3499565775,6457.04077210778,"Yes","No",NA,"Type D",0.40638526
"1570","412M10210",2022,0.64422875,-5916.49087179486,"Peak_10","SB2",0.74422875,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",59.325076836932,"Type D",0.64422875
"1571","412M10210",2022,0.64422875,-5916.49087179486,"Peak_10","SB2",0.74422875,0,"SB2",-14818.5427820515,4888.9717690355,"No","No",150.46168587354,"Type D",0.64422875
"1572","402PS0048",2021,0.95346573,274.562950382951,"Peak_10","NAT",1.05346573,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.95346573
"1573","SMC06496",2022,0.71117114,-737.530764069265,"Peak_10","NAT",0.81117114,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.71117114
"1574","412M08599",2022,0.61902263,-5916.49087179486,"Peak_10","SB2",0.71902263,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",59.325076836932,"Type D",0.61902263
"1575","412M08599",2022,0.61902263,-5916.49087179486,"Peak_10","SB2",0.71902263,0,"SB2",-14818.5427820515,4888.9717690355,"No","No",150.46168587354,"Type D",0.61902263
"1576","SMC04670",2022,0.32621129,-3868.55909723609,"Peak_10","HB",0.42621129,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",37.7926495223546,"Type D",0.32621129
"1577","SMC04670",2022,0.32621129,-3868.55909723609,"Peak_10","HB",0.42621129,0,"HB",-51409.3499565775,6457.04077210778,"No","No",1228.90176069191,"Type D",0.32621129
"1578","SMC03984",2022,0.86744228,-204.697944488844,"Peak_10","SB1",0.96744228,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.86744228
"1579","SMC03984",2022,0.86744228,-204.697944488844,"Peak_10","SB1",0.96744228,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","Yes",NA,"Type X",0.86744228
"1580","SMC03390",2022,0.47718303,-3868.55909723609,"Peak_10","HB",0.57718303,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",37.7926495223546,"Type D",0.47718303
"1581","SMC03390",2022,0.47718303,-3868.55909723609,"Peak_10","HB",0.57718303,0,"HB",-51409.3499565775,6457.04077210778,"No","No",1228.90176069191,"Type D",0.47718303
"1582","SMC00574",2022,0.3463871,-3868.55909723609,"Peak_10","HB",0.4463871,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",37.7926495223546,"Type D",0.3463871
"1583","SMC00574",2022,0.3463871,-3868.55909723609,"Peak_10","HB",0.4463871,0,"HB",-51409.3499565775,6457.04077210778,"No","No",1228.90176069191,"Type D",0.3463871
"1584","SGLT506",2022,0.57418273,-1343.3510044955,"Peak_10","SB2",0.67418273,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.57418273
"1585","SGLT506",2022,0.57418273,-1343.3510044955,"Peak_10","SB2",0.67418273,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","No",NA,"Type D",0.57418273
"1586","405PS0036",2022,0.95476126,-176.239157309357,"Peak_10","SB1",1.05476126,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","Yes",NA,"Type X",0.95476126
"1587","405PS0036",2022,0.95476126,-176.239157309357,"Peak_10","SB1",1.05476126,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","Yes",NA,"Type X",0.95476126
"1588","405M10600",2022,0.60341547,-3868.55909723609,"Peak_10","HB",0.70341547,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",37.7926495223546,"Type D",0.60341547
"1589","405M10600",2022,0.60341547,-3868.55909723609,"Peak_10","HB",0.70341547,0,"HB",-51409.3499565775,6457.04077210778,"No","No",1228.90176069191,"Type D",0.60341547
"1590","901ATCDOS",2019,0.68779174,372.453394105895,"Peak_10","SB2",0.78779174,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.68779174
"1591","901ATCDOS",2019,0.68779174,372.453394105895,"Peak_10","SB2",0.78779174,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","No",NA,"Type D",0.68779174
"1592","SMC00957",2022,0.58205361,-135.375704462204,"Peak_10","NAT",0.68205361,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.58205361
"1593","403M05947",2023,0.5448857,154.72886989677,"Peak_10","NAT",0.6448857,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.5448857
"1594","411M07394",2023,0.48582814,-1990.62192797203,"Peak_10","HB",0.58582814,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.48582814
"1595","411M07394",2023,0.48582814,-1990.62192797203,"Peak_10","HB",0.58582814,0,"HB",-51409.3499565775,6457.04077210778,"Yes","No",NA,"Type D",0.48582814
"1596","SMC18169",2022,0.70326565,-12015.3463989343,"Peak_10","SB2",0.80326565,0,"NAT",-2406.52811605249,3918.07351700487,"No","No",79.9712131789564,"Type D",0.70326565
"1597","SMC18169",2022,0.70326565,-12015.3463989343,"Peak_10","SB2",0.80326565,0,"SB2",-14818.5427820515,4888.9717690355,"No","No",23.3301337310244,"Type D",0.70326565
"1598","408M03190",2023,0.63727724,-450.596011588411,"Peak_10","SB2",0.73727724,0,"NAT",-2406.52811605249,3918.07351700487,"Yes","No",NA,"Type A",0.63727724
"1599","408M03190",2023,0.63727724,-450.596011588411,"Peak_10","SB2",0.73727724,0,"SB2",-14818.5427820515,4888.9717690355,"Yes","No",NA,"Type D",0.63727724
"1600","SMC15678",2021,0.32904119,-410.214877455878,"Peak_2","HB",0.42904119,0,"NAT",-1230.88294709613,524.783859526413,"Yes","No",NA,"Type A",0.32904119
"1601","SMC15678",2021,0.32904119,-410.214877455878,"Peak_2","HB",0.42904119,0,"HB",-2502.64689005328,1333.56522827593,"Yes","No",NA,"Type D",0.32904119
"1602","404M07364",2018,0.80928445,-285.895498501499,"Peak_2","NAT",0.90928445,0,"NAT",-1230.88294709613,524.783859526413,"Yes","Yes",NA,"Type X",0.80928445
"1603","SMC04972",2020,1.11217878,-73.6750772560772,"Peak_2","SB1",1.21217878,0,"NAT",-1230.88294709613,524.783859526413,"Yes","Yes",NA,"Type X",1.11217878
"1604","SMC04972",2020,1.11217878,-73.6750772560772,"Peak_2","SB1",1.21217878,0,"SB2",-1623.11278299025,823.721326300524,"Yes","Yes",NA,"Type X",1.11217878
"1605","SMC01260",2019,0.54567054,74.0471926406927,"Peak_2","HB",0.64567054,0,"NAT",-1230.88294709613,524.783859526413,"Yes","No",NA,"Type A",0.54567054
"1606","SMC01260",2019,0.54567054,74.0471926406927,"Peak_2","HB",0.64567054,0,"HB",-2502.64689005328,1333.56522827593,"Yes","No",NA,"Type D",0.54567054
"1607","903M20124",2015,0.96650029,-174.591982184482,"Peak_2","NAT",1.06650029,0,"NAT",-1230.88294709613,524.783859526413,"Yes","Yes",NA,"Type X",0.96650029
