"","df","AIC","DevianceExplained","RSquared","Variable","Metric","Smooths","Quants"
"gamm_slope...59",9.83916497863363,310.815268233832,0.724480697902011,0.268433659046563,"d_fa_mag","csci",6,0.9
"gamm_int_slope...60",9.17857628165526,112.617137284734,0.762542482437235,0.366583975264483,"d_fa_mag","csci",6,0.9
"gamm_intercept...61",6.27359504685651,87.2573974427675,0.750951667493601,0.360165257280219,"d_peak_10","csci",6,0.9
"gamm_slope...62",9.35382426951305,393.374396962574,0.696280891124953,0.123904224163954,"d_peak_10","csci",6,0.9
"gamm_int_slope...63",10.5259075976723,-2.39143813029064,0.756033617015753,0.359175065244141,"d_peak_10","csci",6,0.9
"gamm_intercept...64",9.35678919230597,180.646941149061,0.758827767811072,0.393710856889761,"d_peak_2","csci",6,0.9
"gamm_slope...65",8.65884621911976,368.431916820599,0.691761379980198,0.0196746644053544,"d_peak_2","csci",6,0.9
"gamm_int_slope...66",10.3498572505608,96.5875482407511,0.759891575140693,0.393036836796525,"d_peak_2","csci",6,0.9
"gamm_intercept...67",5.9824541797339,136.887541962881,0.749825125323915,0.360371718511016,"d_peak_5","csci",6,0.9
"gamm_slope...68",9.82943682536092,274.59393317935,0.705969014778173,0.0783622848363335,"d_peak_5","csci",6,0.9
"gamm_int_slope...69",8.91150348871164,102.106968178166,0.752648955983904,0.355822187713424,"d_peak_5","csci",6,0.9
"gamm_intercept...70",9.83392057460316,178.734532644677,0.758714720984185,0.396652899412912,"d_sp_mag","csci",6,0.9
"gamm_slope...71",8.46497622581223,396.661484231217,0.699934856373513,0.114093720619514,"d_sp_mag","csci",6,0.9
"gamm_int_slope...72",11.9996168103047,101.798567984005,0.766638848962391,0.397820719704638,"d_sp_mag","csci",6,0.9
"gamm_intercept...73",9.69035347436918,183.845411600027,0.757704902884905,0.373585737048768,"d_wet_bfl_mag_10","csci",6,0.9
"gamm_slope...74",7.38253875437025,515.892222440996,0.68578541689825,0.121436069856948,"d_wet_bfl_mag_10","csci",6,0.9
"gamm_int_slope...75",9.73960009696267,109.737098967041,0.759517703525744,0.374079595628192,"d_wet_bfl_mag_10","csci",6,0.9
"gamm_intercept...76",7.9328939379741,81.8020893120113,0.751854538894302,0.355622216138102,"d_wet_bfl_mag_50","csci",6,0.9
"gamm_slope...77",9.53944208962811,541.09263011473,0.687645657017002,-0.027566206240383,"d_wet_bfl_mag_50","csci",6,0.9
"gamm_int_slope...78",7.94266106839883,74.5406671814529,0.751859960153703,0.355611892631534,"d_wet_bfl_mag_50","csci",6,0.9
"gamm_intercept...79",5.98443690298481,195.630014133085,0.744063103036495,0.354784104231006,"delta_q99","csci",6,0.9
"gamm_slope...80",9.73323266492243,410.893057372283,0.699461760113336,0.0676876868914732,"delta_q99","csci",6,0.9
"gamm_int_slope...81",9.92714531485601,59.8841360711831,0.755570414491652,0.360184890410191,"delta_q99","csci",6,0.9
"gamm_intercept...82",9.62011672831926,-470.030459531085,0.37660808177681,0.413273606554264,"d_ds_mag_50","csci",6,0.5
"gamm_slope...83",9.17927898279708,-270.947062824186,0.253271539431233,0.265948437012537,"d_ds_mag_50","csci",6,0.5
"gamm_int_slope...84",13.6440458059276,-483.236229728613,0.394061160092027,0.425536333859348,"d_ds_mag_50","csci",6,0.5
"gamm_intercept...85",9.73928845555799,-465.455772799383,0.375245726194838,0.410391155104996,"d_fa_mag","csci",6,0.5
"gamm_slope...86",9.59262705793469,-316.386026142976,0.280574440283253,0.29554614520235,"d_fa_mag","csci",6,0.5
