"","Index","masterid","Threshold","BioThresh","Flow.Metric.Name","Quantile","Lower2","Upper2"
"61","csci","SMC00957","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"62","csci","SMC01049","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"63","csci","402M00042","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"64","csci","902S01097","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"65","csci","SMC01151","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"66","csci","SMC01201","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"67","csci","SMC01372","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"68","csci","SMC01384","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"69","csci","SMC01413","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"70","csci","907S01418","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"71","csci","SMC01544","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"72","csci","904S01814","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"73","csci","SMC01979","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"74","csci","SMC02591","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"75","csci","SMC03110","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"76","csci","SMC03929","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"77","csci","SMC04121","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"78","csci","SMC04175","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"79","csci","SMC04239","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"80","csci","SMC04264","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"81","csci","SMC04294","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"82","csci","SMC04383","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"83","csci","SMC04399","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"84","csci","SMC04661","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"85","csci","SMC04682","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"86","csci","SMC04748","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"87","csci","SMC04880","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"88","csci","SMC05109","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"89","csci","SMC05296","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"90","csci","SMC05407","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"91","csci","SMC05702","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"92","csci","SMC05968","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"93","csci","SMC06216","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"94","csci","SMC06496","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"95","csci","SMC06714","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"96","csci","SMC06863","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"97","csci","SMC07126","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
