"","ChannelType","hydro.endpoints","Target","Categories","Tally","TotalSites","PercentSites","Flow.Metric.Name","Flow.Component"
"303","All","Peak_10","Reference Condition","Non-flow related",181,543,33.3333333333333,"10-year flood magnitude","Peak flow"
"304","All","Peak_10","Incremental Improvement","Non-flow related",181,543,33.3333333333333,"10-year flood magnitude","Peak flow"
"305","All","Peak_10","Best Observed Condition","Non-flow related",181,543,33.3333333333333,"10-year flood magnitude","Peak flow"
"306","All","Peak_10","Reference Condition","Over 50%",31,33,93.9393939393939,"10-year flood magnitude","Peak flow"
"307","All","Peak_10","Best Observed Condition","10 - 50%",6,39,15.3846153846154,"10-year flood magnitude","Peak flow"
"308","All","Peak_10","Reference Condition","Less than 10%",4,72,5.55555555555556,"10-year flood magnitude","Peak flow"
"309","All","Peak_10","Best Observed Condition","Over 50%",2,33,6.06060606060606,"10-year flood magnitude","Peak flow"
"310","All","Peak_2","Reference Condition","Non-flow related",202,606,33.3333333333333,"2-year flood magnitude","Peak flow"
"311","All","Peak_2","Incremental Improvement","Non-flow related",202,606,33.3333333333333,"2-year flood magnitude","Peak flow"
"312","All","Peak_2","Best Observed Condition","Non-flow related",202,606,33.3333333333333,"2-year flood magnitude","Peak flow"
"313","All","Peak_2","Reference Condition","No Action",147,441,33.3333333333333,"2-year flood magnitude","Peak flow"
"314","All","Peak_2","Incremental Improvement","No Action",147,441,33.3333333333333,"2-year flood magnitude","Peak flow"
"315","All","Peak_2","Best Observed Condition","No Action",147,441,33.3333333333333,"2-year flood magnitude","Peak flow"
"316","All","Peak_2","Reference Condition","10 - 50%",25,28,89.2857142857143,"2-year flood magnitude","Peak flow"
"317","All","Peak_2","Incremental Improvement","Less than 10%",47,52,90.3846153846154,"2-year flood magnitude","Peak flow"
"318","All","Peak_2","Reference Condition","Over 50%",17,24,70.8333333333333,"2-year flood magnitude","Peak flow"
"319","All","Peak_2","Best Observed Condition","Over 50%",7,24,29.1666666666667,"2-year flood magnitude","Peak flow"
"320","All","Peak_2","Reference Condition","Less than 10%",5,52,9.61538461538462,"2-year flood magnitude","Peak flow"
"321","All","Peak_2","Best Observed Condition","10 - 50%",3,28,10.7142857142857,"2-year flood magnitude","Peak flow"
"322","All","Peak_5","Reference Condition","10 - 50%",39,42,92.8571428571429,"5-year flood magnitude","Peak flow"
"323","All","Peak_5","Incremental Improvement","Less than 10%",58,61,95.0819672131148,"5-year flood magnitude","Peak flow"
"324","All","Peak_5","Reference Condition","No Action",147,441,33.3333333333333,"5-year flood magnitude","Peak flow"
"325","All","Peak_5","Incremental Improvement","No Action",147,441,33.3333333333333,"5-year flood magnitude","Peak flow"
"326","All","Peak_5","Best Observed Condition","No Action",147,441,33.3333333333333,"5-year flood magnitude","Peak flow"
"327","All","Peak_5","Reference Condition","Non-flow related",191,573,33.3333333333333,"5-year flood magnitude","Peak flow"
"328","All","Peak_5","Incremental Improvement","Non-flow related",191,573,33.3333333333333,"5-year flood magnitude","Peak flow"
"329","All","Peak_5","Best Observed Condition","Non-flow related",191,573,33.3333333333333,"5-year flood magnitude","Peak flow"
"330","All","Peak_5","Reference Condition","Over 50%",17,24,70.8333333333333,"5-year flood magnitude","Peak flow"
"331","All","Peak_5","Best Observed Condition","Over 50%",7,24,29.1666666666667,"5-year flood magnitude","Peak flow"
"332","All","Peak_5","Reference Condition","Less than 10%",2,61,3.27868852459016,"5-year flood magnitude","Peak flow"
"333","All","Peak_5","Best Observed Condition","Less than 10%",1,61,1.63934426229508,"5-year flood magnitude","Peak flow"
"334","All","Peak_5","Best Observed Condition","10 - 50%",3,42,7.14285714285714,"5-year flood magnitude","Peak flow"
"335","All","SP_Mag","Reference Condition","Non-flow related",238,714,33.3333333333333,"Spring recession magnitude","Spring recession flow"
"336","All","SP_Mag","Incremental Improvement","Non-flow related",238,714,33.3333333333333,"Spring recession magnitude","Spring recession flow"
"337","All","SP_Mag","Best Observed Condition","Non-flow related",238,714,33.3333333333333,"Spring recession magnitude","Spring recession flow"
"338","All","SP_Mag","Reference Condition","No Action",147,441,33.3333333333333,"Spring recession magnitude","Spring recession flow"
"339","All","SP_Mag","Incremental Improvement","No Action",147,441,33.3333333333333,"Spring recession magnitude","Spring recession flow"
"340","All","SP_Mag","Best Observed Condition","No Action",147,441,33.3333333333333,"Spring recession magnitude","Spring recession flow"
"341","All","SP_Mag","Reference Condition","10 - 50%",11,12,91.6666666666667,"Spring recession magnitude","Spring recession flow"
"342","All","SP_Mag","Incremental Improvement","Less than 10%",11,11,100,"Spring recession magnitude","Spring recession flow"
"343","All","SP_Mag","Best Observed Condition","10 - 50%",1,12,8.33333333333333,"Spring recession magnitude","Spring recession flow"
"344","All","Wet_BFL_Mag_10","Reference Condition","10 - 50%",44,50,88,"Wet-season low baseflow","Wet-season baseflow"
"345","All","Wet_BFL_Mag_10","Incremental Improvement","Over 50%",84,129,65.1162790697674,"Wet-season low baseflow","Wet-season baseflow"
"346","All","Wet_BFL_Mag_10","Reference Condition","No Action",147,441,33.3333333333333,"Wet-season low baseflow","Wet-season baseflow"
"347","All","Wet_BFL_Mag_10","Incremental Improvement","No Action",147,441,33.3333333333333,"Wet-season low baseflow","Wet-season baseflow"
"348","All","Wet_BFL_Mag_10","Best Observed Condition","No Action",147,441,33.3333333333333,"Wet-season low baseflow","Wet-season baseflow"
"349","All","Wet_BFL_Mag_10","Reference Condition","Non-flow related",164,492,33.3333333333333,"Wet-season low baseflow","Wet-season baseflow"
"350","All","Wet_BFL_Mag_10","Incremental Improvement","Non-flow related",164,492,33.3333333333333,"Wet-season low baseflow","Wet-season baseflow"
"351","All","Wet_BFL_Mag_10","Best Observed Condition","Non-flow related",164,492,33.3333333333333,"Wet-season low baseflow","Wet-season baseflow"
"352","All","Wet_BFL_Mag_10","Reference Condition","Over 50%",37,129,28.6821705426357,"Wet-season low baseflow","Wet-season baseflow"
"353","All","Wet_BFL_Mag_10","Best Observed Condition","Over 50%",8,129,6.2015503875969,"Wet-season low baseflow","Wet-season baseflow"
"354","All","Wet_BFL_Mag_10","Reference Condition","Less than 10%",4,4,100,"Wet-season low baseflow","Wet-season baseflow"
"355","All","Wet_BFL_Mag_10","Best Observed Condition","10 - 50%",5,50,10,"Wet-season low baseflow","Wet-season baseflow"
"356","All","Wet_BFL_Mag_10","Incremental Improvement","10 - 50%",1,50,2,"Wet-season low baseflow","Wet-season baseflow"
"357","All","Wet_BFL_Mag_50","Reference Condition","Non-flow related",214,642,33.3333333333333,"Wet-season median baseflow","Wet-season baseflow"
"358","All","Wet_BFL_Mag_50","Incremental Improvement","Non-flow related",214,642,33.3333333333333,"Wet-season median baseflow","Wet-season baseflow"
"359","All","Wet_BFL_Mag_50","Best Observed Condition","Non-flow related",214,642,33.3333333333333,"Wet-season median baseflow","Wet-season baseflow"
"360","All","Wet_BFL_Mag_50","Reference Condition","No Action",147,441,33.3333333333333,"Wet-season median baseflow","Wet-season baseflow"
"361","All","Wet_BFL_Mag_50","Incremental Improvement","No Action",147,441,33.3333333333333,"Wet-season median baseflow","Wet-season baseflow"
"362","All","Wet_BFL_Mag_50","Best Observed Condition","No Action",147,441,33.3333333333333,"Wet-season median baseflow","Wet-season baseflow"
"363","All","Wet_BFL_Mag_50","Reference Condition","10 - 50%",24,33,72.7272727272727,"Wet-season median baseflow","Wet-season baseflow"
"364","All","Wet_BFL_Mag_50","Incremental Improvement","10 - 50%",7,33,21.2121212121212,"Wet-season median baseflow","Wet-season baseflow"
"365","All","Wet_BFL_Mag_50","Incremental Improvement","Over 50%",26,30,86.6666666666667,"Wet-season median baseflow","Wet-season baseflow"
"366","All","Wet_BFL_Mag_50","Best Observed Condition","Less than 10%",6,15,40,"Wet-season median baseflow","Wet-season baseflow"
"367","All","Wet_BFL_Mag_50","Reference Condition","Less than 10%",7,15,46.6666666666667,"Wet-season median baseflow","Wet-season baseflow"
"368","All","Wet_BFL_Mag_50","Best Observed Condition","10 - 50%",2,33,6.06060606060606,"Wet-season median baseflow","Wet-season baseflow"
"369","All","Wet_BFL_Mag_50","Reference Condition","Over 50%",4,30,13.3333333333333,"Wet-season median baseflow","Wet-season baseflow"
"370","All","Wet_BFL_Mag_50","Incremental Improvement","Less than 10%",2,15,13.3333333333333,"Wet-season median baseflow","Wet-season baseflow"
"371","All","Q99","Reference Condition","Non-flow related",217,651,33.3333333333333,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
"372","All","Q99","Incremental Improvement","Non-flow related",217,651,33.3333333333333,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
"373","All","Q99","Best Observed Condition","Non-flow related",217,651,33.3333333333333,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
"374","All","Q99","Reference Condition","No Action",147,441,33.3333333333333,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
"375","All","Q99","Incremental Improvement","No Action",147,441,33.3333333333333,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
"376","All","Q99","Best Observed Condition","No Action",147,441,33.3333333333333,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
"377","All","Q99","Reference Condition","Over 50%",14,21,66.6666666666667,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
"378","All","Q99","Incremental Improvement","Less than 10%",32,33,96.969696969697,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
"379","All","Q99","Best Observed Condition","Over 50%",7,21,33.3333333333333,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
"380","All","Q99","Reference Condition","10 - 50%",17,19,89.4736842105263,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
"381","All","Q99","Best Observed Condition","10 - 50%",2,19,10.5263157894737,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
"382","All","Q99","Reference Condition","Less than 10%",1,33,3.03030303030303,"Peak Flow Magnitude (Q99, cfs)","Peak Flow Magnitude"
