"","masterid","latitude","longitude","huc","county","smcshed","csci","sampledate","sampleyear","fieldreplicate","CSCI.Score","Modified.Class","Unhealthy Biology, Unlikely Stressed","Unhealthy Biology, Likely Stressed","Healthy Biology, Unlikely Stressed","Healthy Biology, Likely Stressed","Unhealthy Biology,  Very Likely Stressed","Healthy Biology,  Very Likely Stressed","Total Stressed FFM"
"163","SMC04383",34.50224,-119.35602,402,"Ventura","Ventura",0.80194072,2014-05-19,2014,1,0.80194072,"Natural",0,0,2,7,0,0,0
"164","SMC07126",32.84359,-117.03457,907,"San Diego","Mission Bay and San Diego River",0.33340554,2012-07-12,2012,1,0.33340554,"Natural",3,6,0,0,0,0,6
"165","SMC01151",34.3723,-118.97196,403,"Ventura","Santa Clara",0.53843942,2009-06-17,2009,1,0.53843942,"Natural",0,6,0,0,3,0,9
"166","SMC01358",33.90965,-118.24673,412,"Los Angeles","Los Angeles",0.3957801,2011-06-21,2011,1,0.3957801,"Hard Bottom",0,7,0,0,2,0,9
"167","412M08632",34.23834,-118.6077,412,"Los Angeles","Los Angeles",0.36662216,2017-05-17,2017,1,0.36662216,"Hard Bottom",1,8,0,0,0,0,8
"168","SMC01934",33.49,-117.66595,901,"Orange","San Juan",0.56873842,2012-06-15,2012,1,0.56873842,"Soft Bottom (2)",3,6,0,0,0,0,6
"169","SMC02563",33.68193,-117.67293,801,"Orange","Lower Santa Ana",0.48340097,2014-05-22,2014,1,0.48340097,"Soft Bottom (2)",4,5,0,0,0,0,5
"170","SMC02933",33.31956,-117.16562,903,"San Diego","Northern San Diego",0.70301712,2010-06-01,2010,1,0.70301712,"Natural",1,8,0,0,0,0,8
"171","SMC05230",33.87308,-117.75077,801,"Orange","Lower Santa Ana",0.63611972,2012-07-02,2012,1,0.63611972,"Soft Bottom (2)",0,1,0,0,8,0,9
"172","402M00030",34.43881,-119.29959,402,"Ventura","Ventura",0.63489086,2017-04-19,2017,1,0.63489086,"Natural",5,4,0,0,0,0,4
"173","402M00029",34.35798,-119.31172,402,"Ventura","Ventura",0.35406609,2016-06-06,2016,1,0.35406609,"Natural",2,7,0,0,0,0,7
"174","910M24979",32.59945,-116.93745,910,"San Diego","Southern San Diego",0.66146495,2021-04-22,2021,1,0.66146495,"Natural",1,8,0,0,0,0,8
"175","404M07372",34.13604,-118.75743,404,"Los Angeles","Santa Monica Bay",0.46480035,2019-07-09,2019,2,0.52934004,"Natural",0,9,0,0,0,0,9
"176","404M07375",34.0915,-118.6697,404,"Los Angeles","Santa Monica Bay",0.83971421,2019-05-14,2019,1,0.83971421,"Natural",0,0,0,8,0,1,0
"177","905M21789",33.01073,-117.16855,905,"San Diego","Central San Diego",0.75918438,2020-05-26,2020,1,0.75918438,"Natural",2,7,0,0,0,0,7
"178","SMC08766",33.90192,-118.10859,405,"Los Angeles","San Gabriel",0.31658032,2018-07-10,2018,1,0.31658032,"Hard Bottom",0,7,0,0,2,0,9
"179","SMC04748",34.41314,-118.65879,403,"Los Angeles","Santa Clara",0.67808034,2009-07-02,2009,1,0.67808034,"Natural",0,8,0,0,1,0,9
"180","SMC00436",34.149,-118.27863,412,"Los Angeles","Los Angeles",0.62060885,2017-05-31,2017,1,0.62060885,"Hard Bottom",1,8,0,0,0,0,8
"181","SMC16446",34.41319,-119.27282,402,"Ventura","Ventura",0.79919466,2012-06-21,2012,1,0.79919466,"Natural",0,0,2,7,0,0,0
"182","405M10598",34.06991,-117.77146,405,"Los Angeles","San Gabriel",0.447197,2021-06-17,2021,1,0.447197,"Hard Bottom",0,9,0,0,0,0,9
"183","SMC04264",34.13,-118.7548,404,"Los Angeles","Santa Monica Bay",0.3979169,2021-06-14,2021,1,0.3979169,"Natural",0,9,0,0,0,0,9
"184","403M01575",34.64892,-119.1127,403,"Ventura","Santa Clara",0.81270907,2020-06-03,2020,1,0.81270907,"Natural",0,0,3,6,0,0,0
"185","SMC13630",33.86119,-118.10351,405,"Los Angeles","San Gabriel",0.38264821,2020-07-08,2020,1,0.38264821,"Hard Bottom",0,7,0,0,2,0,9
"186","SMC02484",34.1451,-118.36764,412,"Los Angeles","Los Angeles",0.58386078,2013-06-05,2013,2,0.52408964,"Hard Bottom",1,5,0,0,3,0,8
"187","408M03005",34.27001,-118.74203,408,"Ventura","Calleguas",0.69308165,2015-06-15,2015,1,0.69308165,"Hard Bottom",0,9,0,0,0,0,9
"188","SGUT503",34.29216,-117.83856,405,"Los Angeles","San Gabriel",1.06821278,2016-07-11,2016,1,1.1433064,"Natural",0,0,1,8,0,0,0
"189","SMC01201",33.08584,-117.05528,905,"San Diego","Central San Diego",0.8492468,2010-06-02,2010,1,0.8492468,"Natural",0,0,3,6,0,0,0
"190","402M00043",34.50161,-119.34749,402,"Ventura","Ventura",0.77673276,2016-06-22,2016,1,0.77673276,"Natural",2,7,0,0,0,0,7
"191","412M08643",33.8084,-118.20559,412,"Los Angeles","Los Angeles",0.34539529,2018-05-23,2018,1,0.34539529,"Hard Bottom",0,5,0,0,4,0,9
"192","SMC06216",34.27407,-118.31518,412,"Los Angeles","Los Angeles",0.96084854,2020-07-28,2020,1,0.96084854,"Natural",0,0,2,7,0,0,0
"193","902M18929",33.46879,-117.22049,902,"Riverside","Northern San Diego",0.89806129,2021-06-10,2021,1,0.89806129,"Natural",0,0,1,8,0,0,0
"194","SMC16832",33.88444,-118.10855,405,"Los Angeles","San Gabriel",0.30532013,2018-07-10,2018,1,0.30532013,"Hard Bottom",0,7,0,0,2,0,9
"195","903M20177",33.39672,-117.11527,903,"San Diego","Northern San Diego",0.78215159,2017-05-03,2017,1,0.78215159,"Natural",4,5,0,0,0,0,5
"196","901M14126",33.54743,-117.7223,901,"Orange","San Juan",0.59178416,2016-05-17,2016,1,0.59178416,"Natural",4,5,0,0,0,0,5
"197","904M21764",33.2075,-117.28072,904,"San Diego","Central San Diego",0.45753471,2018-04-17,2018,1,0.45753471,"Natural",1,8,0,0,0,0,8
"198","SMC00345",33.21048,-117.22484,904,"San Diego","Central San Diego",0.51983615,2011-07-19,2011,2,0.5701193,"Natural",2,7,0,0,0,0,7
"199","SMC00910",33.51383,-117.74426,901,"Orange","San Juan",0.54781505,2009-04-30,2009,1,0.54781505,"Soft Bottom (0)",3,6,0,0,0,0,6
"200","SMC01049",33.17733,-117.20403,904,"San Diego","Central San Diego",0.64079334,2014-07-09,2014,1,0.64079334,"Natural",5,4,0,0,0,0,4
"201","SMC02712",34.36179,-118.30348,412,"Los Angeles","Los Angeles",0.91005712,2012-06-07,2012,1,0.91005712,"Natural",0,0,4,5,0,0,0
"202","SMC05702",32.83209,-117.22954,906,"San Diego","Mission Bay and San Diego River",0.51430547,2010-06-07,2010,1,0.51430547,"Natural",1,8,0,0,0,0,8
"203","SMC05902",34.03432,-118.51218,404,"Los Angeles","Santa Monica Bay",0.54576501,2011-06-28,2011,1,0.54576501,"Hard Bottom",2,7,0,0,0,0,7
"204","SMC00198",32.93709,-117.13851,906,"San Diego","Central San Diego",0.78614815,2021-05-05,2021,1,0.78614815,"Natural",3,6,0,0,0,0,6
"205","402M00191",34.42514,-119.26087,402,"Ventura","Ventura",0.85109692,2022-06-23,2022,1,0.85109692,"Natural",0,0,3,6,0,0,0
"206","SMC01278",33.82099,-118.06645,405,"Los Angeles","San Gabriel",0.40544614,2021-07-15,2021,2,0.37555803,"Hard Bottom",0,7,0,0,2,0,9
"207","SMC17432",33.84435,-118.09802,405,"Los Angeles","San Gabriel",0.37948423,2021-07-21,2021,1,0.37948423,"Hard Bottom",0,7,0,0,2,0,9
"208","SMC00710",32.88934,-117.20028,906,"San Diego","Central San Diego",0.66050361,2022-05-25,2022,1,0.66050361,"Natural",1,8,0,0,0,0,8
"209","SMC04132",34.21472,-118.88416,408,"Ventura","Calleguas",0.64231609,2012-06-11,2012,1,0.64231609,"Hard Bottom",1,8,0,0,0,0,8
"210","SMC04756",34.27092,-118.9269,408,"Ventura","Calleguas",0.65494459,2014-05-21,2014,1,0.65494459,"Soft Bottom (0)",1,8,0,0,0,0,8
"211","SMC05109",33.4745,-117.13858,902,"Riverside","Northern San Diego",0.58092846,2014-05-07,2014,1,0.58092846,"Natural",2,7,0,0,0,0,7
"212","906M21758",32.94264,-117.10754,906,"San Diego","Central San Diego",0.81234205,2017-05-11,2017,2,0.76665115,"Natural",1,8,0,0,0,0,8
"213","801EBC126",34.17413,-116.89426,801,"San Bernardino","Upper Santa Ana",0.51904241,2008-06-23,2008,1,0.51904241,"Natural",0,8,0,0,1,0,9
"214","802HYC496",33.68738,-116.68416,802,"Riverside","San Jacinto",0.86759659,2008-07-01,2008,1,0.86759659,"Natural",0,0,4,5,0,0,0
"215","SMC00873",33.59849,-117.62668,901,"Orange","San Juan",0.64883298,2020-05-12,2020,1,0.64896418,"Natural",3,6,0,0,0,0,6
"216","801STW051",33.99512,-117.15212,801,"Riverside","Upper Santa Ana",0.47856643,2006-06-03,2006,1,0.57490221,"Natural",1,8,0,0,0,0,8
"217","801SAN068",34.2575,-117.64123,801,"San Bernardino","Middle Santa Ana",0.81384627,2008-06-10,2008,1,0.81384627,"Natural",0,0,2,7,0,0,0
"218","801STC071",33.75347,-117.67887,801,"Orange","Lower Santa Ana",0.67051649,2008-06-05,2008,1,0.67051649,"Natural",2,7,0,0,0,0,7
"219","801STC071",33.75347,-117.67887,801,"Orange","Lower Santa Ana",0.67908235,2008-06-05,2008,2,0.67051649,"Natural",2,7,0,0,0,0,7
"220","801XXX118",34.27906,-117.47566,801,"San Bernardino","Upper Santa Ana",0.73455533,2008-06-11,2008,1,0.73455533,"Natural",1,8,0,0,0,0,8
"221","801CYC121",34.12372,-117.19213,801,"San Bernardino","Upper Santa Ana",0.62785727,2007-06-09,2007,1,0.78190452,"Soft Bottom (0)",3,6,0,0,0,0,6
"222","801STC149",33.76593,-117.67927,801,"Orange","Lower Santa Ana",0.92506659,2008-07-08,2008,1,0.92506659,"Natural",0,0,1,8,0,0,0
"223","801SJR159",33.73904,-116.83089,802,"Riverside","San Jacinto",0.42759394,2007-04-20,2007,1,0.42759394,"Natural",2,7,0,0,0,0,7
"224","801SAR165",33.96358,-117.47533,801,"Riverside","Middle Santa Ana",0.6596796,2008-07-06,2008,1,0.6596796,"Soft Bottom (0)",1,6,0,0,2,0,8
"225","802INC172",33.78651,-116.8323,802,"Riverside","San Jacinto",0.45912239,2006-06-16,2006,1,0.63126862,"Natural",3,6,0,0,0,0,6
"226","801STW208",34.0023,-117.16428,801,"Riverside","Upper Santa Ana",0.5852404,2007-06-17,2007,1,0.72202169,"Natural",2,7,0,0,0,0,7
"227","802HYC496",33.68738,-116.68416,802,"Riverside","San Jacinto",0.90832175,2008-07-01,2008,2,0.86759659,"Natural",0,0,4,5,0,0,0
"228","801STW613",33.98574,-117.13166,801,"Riverside","Upper Santa Ana",0.54734921,2009-06-29,2009,1,0.54734921,"Natural",1,8,0,0,0,0,8
"229","402M00015",34.47484,-119.29151,402,"Ventura","Ventura",0.69814951,2016-06-06,2016,1,0.69814951,"Natural",3,6,0,0,0,0,6
"230","SMC19945",34.50486,-119.28186,402,"Ventura","Ventura",0.99119816,2013-06-25,2013,1,0.99119816,"Natural",0,0,2,7,0,0,0
"231","SMC21921",33.8878,-117.50574,801,"Riverside","Middle Santa Ana",0.3158459,2013-06-13,2013,1,0.3158459,"Hard Bottom",0,9,0,0,0,0,9
"232","SMC20994",34.03639,-118.51129,404,"Los Angeles","Santa Monica Bay",0.54383597,2013-06-17,2013,1,0.54383597,"Hard Bottom",2,7,0,0,0,0,7
"233","SMC19809",34.50141,-119.3531,402,"Ventura","Ventura",0.94319412,2013-06-25,2013,1,0.94319412,"Natural",0,0,2,7,0,0,0
"234","SMC21796",33.99108,-118.40916,404,"Los Angeles","Santa Monica Bay",0.49156904,2013-06-14,2013,1,0.49156904,"Hard Bottom",0,7,0,0,2,0,9
"235","SMC35697",34.35404,-119.30981,402,"Ventura","Ventura",0.80361567,2010-06-10,2010,1,0.80361567,"Natural",0,0,1,8,0,0,0
"236","SMC33179",33.47313,-117.14351,902,"Riverside","Northern San Diego",0.97632378,2013-06-11,2013,1,0.97632378,"Natural",0,0,2,7,0,0,0
"237","SMC32718",32.88458,-116.82232,907,"San Diego","Mission Bay and San Diego River",0.80344582,2010-06-03,2010,1,0.80344582,"Natural",0,0,3,6,0,0,0
"238","ME-SCR",34.30063,-119.1097,403,"Ventura","Santa Clara",0.63308828,2018-07-11,2018,1,0.63308828,"Natural",0,8,0,0,1,0,9
"239","404M04674",34.1462,-118.85088,404,"Ventura","Santa Monica Bay",0.43666498,2019-05-09,2019,1,0.43666498,"Soft Bottom (2)",1,8,0,0,0,0,8
"240","801M12675",33.81308,-117.85819,801,"Orange","Lower Santa Ana",0.49640118,2019-04-23,2019,1,0.49640118,"Soft Bottom (0)",0,2,0,0,7,0,9
"241","901M14149",33.56754,-117.74812,901,"Orange","San Juan",0.65647705,2019-05-29,2019,1,0.65647705,"Natural",2,7,0,0,0,0,7
"242","402M00058",34.44552,-119.29586,402,"Ventura","Ventura",0.74653736,2019-06-10,2019,1,0.74653736,"Natural",5,4,0,0,0,0,4
"243","402M00114",34.41665,-119.37011,402,"Ventura","Ventura",0.84854225,2018-06-14,2018,1,0.84854225,"Natural",0,0,2,7,0,0,0
"244","907SDBOC2",32.96353,-116.66406,907,"San Diego","Mission Bay and San Diego River",1.13751762,2022-05-03,2022,1,1.13751762,"Natural",0,0,2,7,0,0,0
"245","801BNC530",34.17834,-116.90881,801,"San Bernardino","Upper Santa Ana",0.81367679,2014-06-19,2014,1,0.81367679,"Natural",0,0,1,8,0,0,0
"246","801STW051",33.99512,-117.15212,801,"Riverside","Upper Santa Ana",0.57490221,2006-06-03,2006,1,0.57490221,"Natural",1,8,0,0,0,0,8
"247","903SLGRD2",33.33549,-117.18845,903,"San Diego","Northern San Diego",0.86832347,2008-05-09,2008,1,0.86832347,"Natural",0,0,4,5,0,0,0
"248","905DGUT1x",33.17601,-116.85052,905,"San Diego","Central San Diego",1.13876134,2010-06-29,2010,1,1.20601175,"Natural",0,0,3,6,0,0,0
"249","907SSDR11",32.82119,-117.0627,907,"San Diego","Mission Bay and San Diego River",0.75573851,2008-05-05,2008,1,0.75573851,"Natural",3,6,0,0,0,0,6
"250","907SDR1xx",32.76497,-117.19136,907,"San Diego","Mission Bay and San Diego River",0.57828619,1999-11-14,1999,1,0.57828619,"Natural",2,7,0,0,0,0,7
"251","907M23385",32.81067,-117.07466,907,"San Diego","Mission Bay and San Diego River",0.70125632,2019-06-25,2019,1,0.70125632,"Natural",3,6,0,0,0,0,6
"252","403WE0540",34.65136,-119.11845,403,"Ventura","Santa Clara",0.87474137,2017-05-17,2017,1,0.87474137,"Natural",0,0,3,6,0,0,0
"253","907M23367",32.96335,-116.66364,907,"San Diego","Mission Bay and San Diego River",0.97591222,2018-05-29,2018,1,0.97591222,"Natural",0,0,2,7,0,0,0
"254","408BH5Cxx",34.28098,-118.81234,408,"Ventura","Calleguas",0.63007439,2010-06-18,2010,1,0.63007439,"Soft Bottom (2)",0,9,0,0,0,0,9
"255","904M21784",33.18782,-117.27686,904,"San Diego","Central San Diego",0.66767341,2019-06-18,2019,1,0.66767341,"Hard Bottom",0,9,0,0,0,0,9
"256","904M21782",33.15476,-117.03441,904,"San Diego","Central San Diego",0.51222084,2019-06-11,2019,1,0.51222084,"Hard Bottom",4,5,0,0,0,0,5
"257","904M21782",33.15476,-117.03441,904,"San Diego","Central San Diego",0.62251163,2019-06-11,2019,2,0.51222084,"Hard Bottom",4,5,0,0,0,0,5
"258","801CBN012",33.91909,-117.82201,801,"Orange","Lower Santa Ana",0.72571,2006-05-31,2006,1,0.72571,"Natural",2,7,0,0,0,0,7
"259","801CYC121",34.12372,-117.19213,801,"San Bernardino","Upper Santa Ana",0.78190452,2007-06-09,2007,1,0.78190452,"Soft Bottom (0)",3,6,0,0,0,0,6
"260","801M15530",34.07865,-117.06717,801,"San Bernardino","Upper Santa Ana",0.71671545,2019-06-17,2019,2,0.75069022,"Natural",0,9,0,0,0,0,9
"261","801XXX112",34.26148,-117.46974,801,"San Bernardino","Upper Santa Ana",0.85609129,2012-06-28,2012,2,1.02797662,"Natural",0,0,1,8,0,0,0
"262","802HYC496",33.68738,-116.68416,802,"Riverside","San Jacinto",0.33442945,2008-07-01,2008,1,0.86759659,"Natural",0,0,4,5,0,0,0
"263","901TCSMP1",33.63582,-117.61739,901,"Orange","San Juan",0.5268859,2010-05-05,2010,1,0.72845641,"Natural",4,5,0,0,0,0,5
"264","911NCPCR2",32.86391,-116.50865,911,"San Diego","Southern San Diego",0.96405807,2010-05-24,2010,1,1.16223701,"Natural",0,0,3,6,0,0,0
"265","907SDRS2x",32.77222,-117.14194,907,"San Diego","Mission Bay and San Diego River",0.76250787,1997-06-16,1997,1,0.76250787,"Soft Bottom (0)",2,7,0,0,0,0,7
"266","904M21761",33.1082,-117.20794,904,"San Diego","Central San Diego",0.60729462,2019-06-03,2019,1,0.60729462,"Natural",5,4,0,0,0,0,4
"267","903WE0900",33.33052,-116.81511,903,"San Diego","Northern San Diego",1.14732173,2021-04-09,2021,1,1.14732173,"Natural",0,0,5,4,0,0,0
"268","402WE0803",34.42131,-119.3806,402,"Ventura","Ventura",1.01464196,2001-06-12,2001,1,1.01464196,"Natural",0,0,3,6,0,0,0
"269","412BH1Axx",34.27392,-118.31529,412,"Los Angeles","Los Angeles",0.54226137,2010-06-15,2010,1,0.54226137,"Soft Bottom (0)",2,7,0,0,0,0,7
"270","412WE0563",34.34716,-118.04869,412,"Los Angeles","Los Angeles",0.91879409,2001-06-21,2001,1,1.15285363,"Natural",0,0,3,6,0,0,0
"271","801CJW027",34.3061,-117.4697,801,"San Bernardino","Upper Santa Ana",0.96782576,2012-06-25,2012,1,0.96782576,"Natural",0,0,2,7,0,0,0
"272","801RB8312",33.95718,-117.53012,801,"Riverside","Middle Santa Ana",0.71729343,2017-06-27,2017,1,0.71729343,"Natural",1,6,0,0,2,0,8
"273","801S03971",33.67551,-117.82775,801,"Orange","Lower Santa Ana",0.15266242,2014-06-16,2014,1,0.15266242,"Soft Bottom (2)",1,8,0,0,0,0,8
"274","904AHC004",33.14909,-117.29754,904,"San Diego","Central San Diego",0.20220129,2010-10-25,2010,1,0.61083141,"Soft Bottom (0)",3,6,0,0,0,0,6
"275","905DGUT1x",33.17601,-116.85052,905,"San Diego","Central San Diego",1.20004632,2010-06-16,2010,1,1.20601175,"Natural",0,0,3,6,0,0,0
"276","911NCPCR2",32.86391,-116.50865,911,"San Diego","Southern San Diego",1.16223701,2010-04-28,2010,1,1.16223701,"Natural",0,0,3,6,0,0,0
"277","402MTCUNF",34.5175,-119.3792,402,"Ventura","Ventura",1.13771921,2012-06-05,2012,1,1.13771921,"Natural",0,0,2,7,0,0,0
"278","403S01195",34.55903,-119.2678,403,"Ventura","Santa Clara",0.82824503,2009-06-10,2009,1,0.82824503,"Natural",0,0,3,6,0,0,0
"279","403S06315",34.59223,-119.31033,403,"Ventura","Santa Clara",0.92119231,2012-06-27,2012,1,0.92119231,"Natural",0,0,2,7,0,0,0
"280","403STC026",34.55889,-119.26861,403,"Ventura","Santa Clara",0.89572051,2003-02-05,2003,1,0.89572051,"Natural",0,0,2,7,0,0,0
"281","403STCSSP",34.39414,-118.94096,403,"Ventura","Santa Clara",0.74369945,2003-02-04,2003,1,0.74369945,"Natural",2,7,0,0,0,0,7
"282","412CE0104",34.06911,-118.22324,412,"Los Angeles","Los Angeles",0.60665192,2005-07-19,2005,1,0.6547592,"Hard Bottom",0,8,0,0,1,0,9
"283","412CE0104",34.06911,-118.22324,412,"Los Angeles","Los Angeles",0.6547592,2005-07-19,2005,1,0.6547592,"Hard Bottom",0,8,0,0,1,0,9
"284","902M20273",33.40282,-117.25509,902,"San Diego","Northern San Diego",0.92593446,2019-06-12,2019,1,0.92593446,"Natural",0,0,1,8,0,0,0
"285","801BRC184",34.16546,-117.01553,801,"San Bernardino","Upper Santa Ana",1.04188077,2014-06-30,2014,1,1.04188077,"Natural",0,0,2,7,0,0,0
"286","801EBC686",34.16918,-116.89195,801,"San Bernardino","Upper Santa Ana",1.1396928,2014-06-19,2014,1,1.1396928,"Natural",0,0,1,7,0,1,0
"287","801SAR165",33.96358,-117.47533,801,"Riverside","Middle Santa Ana",0.27071131,2008-07-06,2008,1,0.6596796,"Soft Bottom (0)",1,6,0,0,2,0,8
"288","801STC071",33.75347,-117.67887,801,"Orange","Lower Santa Ana",0.25047382,2008-06-05,2008,2,0.67051649,"Natural",2,7,0,0,0,0,7
"289","802SWC020",33.76698,-116.6902,802,"Riverside","San Jacinto",0.98514545,2012-07-16,2012,1,0.98514545,"Natural",0,0,3,6,0,0,0
"290","907SDR1xx",32.76497,-117.19136,907,"San Diego","Mission Bay and San Diego River",0.56211517,1999-05-16,1999,1,0.57828619,"Natural",2,7,0,0,0,0,7
"291","405BH3Axx",34.22984,-117.7719,405,"Los Angeles","San Gabriel",1.06619883,2010-06-17,2010,1,1.06619883,"Natural",0,0,2,7,0,0,0
"292","901ATCAAS",33.68264,-117.50159,901,"Orange","San Juan",0.9538041,2021-04-08,2021,1,0.9538041,"Natural",0,0,4,5,0,0,0
"293","801ETC226",34.19146,-117.27421,801,"San Bernardino","Upper Santa Ana",1.21333757,2014-06-10,2014,1,1.21333757,"Natural",0,0,4,5,0,0,0
"294","SMC35837",33.7364,-116.8261,802,"Riverside","San Jacinto",0.90046808,2021-04-08,2021,1,0.90046808,"Natural",0,0,2,7,0,0,0
"295","402MJCMHS",34.5028,-119.3573,402,"Ventura","Ventura",1.06594289,2014-04-22,2014,1,1.06594289,"Natural",0,0,2,7,0,0,0
"296","402WE0803",34.42131,-119.3806,402,"Ventura","Ventura",0.92492256,2001-06-12,2001,1,1.01464196,"Natural",0,0,3,6,0,0,0
"297","403WE0891",34.65926,-119.14255,403,"Ventura","Santa Clara",1.02001192,2001-06-14,2001,1,1.07390852,"Natural",0,0,3,6,0,0,0
"298","907M23349",32.82495,-117.09258,907,"San Diego","Mission Bay and San Diego River",0.34551361,2018-05-29,2018,1,0.35105982,"Natural",1,7,0,0,1,0,8
"299","801WE1008",34.18128,-116.91197,801,"San Bernardino","Upper Santa Ana",0.96482749,2021-04-20,2021,1,0.96482749,"Natural",0,0,1,8,0,0,0
"300","801SAN068",34.2575,-117.64123,801,"San Bernardino","Middle Santa Ana",0.38346598,2008-06-10,2008,1,0.81384627,"Natural",0,0,2,7,0,0,0
"301","801STC071",33.75347,-117.67887,801,"Orange","Lower Santa Ana",0.3098771,2008-06-05,2008,1,0.67051649,"Natural",2,7,0,0,0,0,7
"302","905DGUT1x",33.17601,-116.85052,905,"San Diego","Central San Diego",1.1860869,2010-07-13,2010,1,1.20601175,"Natural",0,0,3,6,0,0,0
"303","801S19486",33.67625,-117.82699,801,"Orange","Lower Santa Ana",0.44006351,2022-05-09,2022,1,0.44006351,"Soft Bottom (2)",1,8,0,0,0,0,8
"304","403R4S117",34.58739,-118.45116,403,"Los Angeles","Santa Clara",0.67490588,2016-05-03,2016,1,0.67490588,"Natural",2,7,0,0,0,0,7
"305","403S06139",34.55464,-119.2405,403,"Ventura","Santa Clara",0.51029031,2012-06-27,2012,1,0.51029031,"Natural",3,6,0,0,0,0,6
"306","404R4S009",34.17601,-118.76169,404,"Ventura","Santa Monica Bay",0.57638369,2015-04-30,2015,1,0.57638369,"Natural",1,8,0,0,0,0,8
"307","408CAL013",34.27133,-118.74003,408,"Ventura","Calleguas",0.53895274,2001-10-30,2001,1,0.53895274,"Hard Bottom",0,9,0,0,0,0,9
"308","801EBC686",34.16918,-116.89195,801,"San Bernardino","Upper Santa Ana",1.13654577,2014-06-19,2014,2,1.1396928,"Natural",0,0,1,7,0,1,0
"309","911NCPCR2",32.86391,-116.50865,911,"San Diego","Southern San Diego",0.9044705,2010-06-14,2010,1,1.16223701,"Natural",0,0,3,6,0,0,0
"310","911NCPCR2",32.86391,-116.50865,911,"San Diego","Southern San Diego",1.02067937,2010-06-30,2010,1,1.16223701,"Natural",0,0,3,6,0,0,0
"311","911TJKTC5",32.75288,-116.45197,911,"San Diego","Southern San Diego",1.10395613,2008-05-07,2008,1,1.10395613,"Natural",0,0,3,6,0,0,0
"312","911TJKTC5",32.75288,-116.45197,911,"San Diego","Southern San Diego",1.07116226,2008-05-07,2008,2,1.10395613,"Natural",0,0,3,6,0,0,0
"313","SMC04524",34.24761,-118.03367,405,"Los Angeles","San Gabriel",1.217132,2017-06-15,2017,1,1.217132,"Natural",0,0,2,7,0,0,0
"314","403CE0156",34.37746,-119.05968,403,"Ventura","Santa Clara",1.0017414,2016-05-24,2016,1,1.0017414,"Natural",0,0,5,4,0,0,0
"315","403SPCNWS",34.5778,-119.2579,403,"Ventura","Santa Clara",1.10503938,2014-04-22,2014,1,1.10503938,"Natural",0,0,3,6,0,0,0
"316","412LAR013",34.29719,-118.24705,412,"Los Angeles","Los Angeles",0.6376696,2005-06-21,2005,1,0.6376696,"Natural",2,7,0,0,0,0,7
"317","801M15530",34.07865,-117.06717,801,"San Bernardino","Upper Santa Ana",0.75069022,2019-06-17,2019,1,0.75069022,"Natural",0,9,0,0,0,0,9
"318","902SSMR05",33.41434,-117.24151,902,"San Diego","Northern San Diego",0.87841844,2001-05-22,2001,1,0.87841844,"Natural",0,0,2,7,0,0,0
"319","901BCCSRT",33.56422,-117.56369,901,"Orange","San Juan",0.67092283,2001-05-16,2001,1,0.67092283,"Natural",4,5,0,0,0,0,5
"320","901NP9LCC",33.62752,-117.42857,901,"Riverside","San Juan",0.89145862,2017-05-10,2017,1,0.89145862,"Natural",0,0,3,6,0,0,0
"321","901SJMS1x",33.58122,-117.52458,901,"Orange","San Juan",0.69189259,2008-06-25,2008,1,1.06150813,"Natural",0,0,4,5,0,0,0
"322","903SLWVR1",33.29391,-117.08732,903,"San Diego","Northern San Diego",1.05026822,2007-06-04,2007,1,1.05026822,"Natural",0,0,2,7,0,0,0
"323","904CBESC5",33.08559,-117.15037,904,"San Diego","Central San Diego",0.59112151,2009-04-23,2009,1,0.59112151,"Natural",3,6,0,0,0,0,6
"324","907SDRS2x",32.77222,-117.14194,907,"San Diego","Mission Bay and San Diego River",0.59983268,1997-10-25,1997,1,0.76250787,"Soft Bottom (0)",2,7,0,0,0,0,7
"325","403STC024",34.45056,-119.05583,403,"Ventura","Santa Clara",0.95187615,2003-02-06,2003,1,0.95187615,"Natural",0,0,1,8,0,0,0
"326","403STC071",34.68278,-118.84361,403,"Ventura","Santa Clara",0.74658296,2003-02-07,2003,1,0.74658296,"Natural",3,6,0,0,0,0,6
"327","404S44642",34.16873,-118.70306,404,"Ventura","Santa Monica Bay",0.59724902,2013-06-04,2013,1,0.59724902,"Natural",3,6,0,0,0,0,6
"328","412BH1Axx",34.27392,-118.31529,412,"Los Angeles","Los Angeles",0.7117249,2010-06-15,2010,2,0.54226137,"Soft Bottom (0)",2,7,0,0,0,0,7
"329","412WE0563",34.34716,-118.04869,412,"Los Angeles","Los Angeles",1.15285363,2001-06-21,2001,1,1.15285363,"Natural",0,0,3,6,0,0,0
"330","801RB8601",34.02631,-117.58648,801,"San Bernardino","Middle Santa Ana",0.31952121,2009-06-24,2009,1,0.31952121,"Hard Bottom",1,7,0,0,1,0,8
"331","902SCDLRx",33.49219,-117.24642,902,"Riverside","Northern San Diego",1.08473722,2001-05-21,2001,1,1.08473722,"Natural",0,0,2,7,0,0,0
"332","905DGCC1x",33.157712,-116.840843,905,"San Diego","Central San Diego",1.12430938,2019-05-13,2019,1,1.12430938,"Natural",0,0,4,5,0,0,0
