"","metric","ThresholdNAT_Lower","ThresholdNAT_Upper","ThresholdNATMed_Lower","ThresholdNATMed_Upper","ThresholdNATLow_Lower","ThresholdNATLow_Upper","ThresholdNATHigh_Lower","ThresholdNATHigh_Upper","ThresholdHB_Lower","ThresholdHB_Upper","ThresholdSB0_Lower","ThresholdSB0_Upper","ThresholdSB2_Lower","ThresholdSB2_Upper","n","Index","Hydro_endpoint","SmoothingFunc","Quantile"
"232","csci_Wet_BFL_Mag_10_15_0.9",-83.0305805380823,28.8453305920929,-83.0305805380823,28.8453305920929,-87.1900456234567,36.6272168889948,-12.9815972176132,12.0747320916425,-86.1928023607865,34.6037005593528,-83.3094907457253,29.3856177370497,-84.1253871029247,30.8794135203017,79019,"csci","Wet_BFL_Mag_10",15,"0.9"
"233","csci_Wet_BFL_Mag_50_15_0.9",NA,137.511349825935,NA,137.511349825935,NA,188.030087802217,-286.448828692212,87.5808315411558,NA,175.878947875015,NA,140.882486840315,NA,150.760655791636,143499,"csci","Wet_BFL_Mag_50",15,"0.9"
"234","csci_Q99_15_0.9",-4257.71192021833,NA,-4257.71192021833,NA,-5524.56582626285,NA,-868.128879126964,NA,-5138.22329539401,NA,-4320.788951425,NA,-4519.15565331693,NA,33828,"csci","Q99",15,"0.9"
"235","csci_DS_Mag_50_15_0.7",-20.8251133393031,9.72867583939837,-20.8251133393031,9.72867583939837,NA,16.9506739988409,-8.39577390307087,2.52928231748884,NA,15.0478196866293,-22.0038976402442,10.1866622622939,-25.6655676596136,11.5265889397353,14141,"csci","DS_Mag_50",15,"0.7"
"236","csci_FA_Mag_15_0.7",-64.8940272453285,58.0209283896191,-64.8940272453285,58.0209283896191,-120.67033222048,256.420791815908,-2.04846437776476,33.7100874576929,-107.767504186838,88.9948275993527,-69.018563825318,59.7864806737427,-80.6707567829871,65.389123400721,11590,"csci","FA_Mag",15,"0.7"
"237","csci_Peak_10_15_0.7",-1447.71803524733,NA,-1447.71803524733,NA,-15229.18940948,NA,-384.076102293884,1249.19595397059,-14358.4892932619,NA,-1542.6973855249,NA,-1860.4252536353,NA,17273,"csci","Peak_10",15,"0.7"
"238","csci_Peak_2_15_0.7",-1795.38504491756,98.6960354350024,-1795.38504491756,98.6960354350024,-5431.86585617909,2154.95793034061,-267.193533365546,1.2328115024823,-5248.57381659574,219.954792908061,-1821.35696959487,106.541797170579,-1903.85349143397,131.366748978972,17980,"csci","Peak_2",15,"0.7"
"239","csci_Peak_5_15_0.7",-1666.83862486291,3119.86864791634,-1666.83862486291,3119.86864791634,-18744.3552573267,NA,-778.213985025474,465.246182662791,-18493.6551157364,NA,-1736.0116372038,3243.63856818345,-1969.43954079801,3673.8984454946,18999,"csci","Peak_5",15,"0.7"
"240","csci_SP_Mag_15_0.7",-47.2657481162058,237.756144830374,-47.2657481162058,237.756144830374,-113.300651871206,NA,NA,24.8974144336285,-96.6139628635815,305.332698776725,-51.5240236932994,242.415349626224,-64.0144566748573,256.705754743409,14103,"csci","SP_Mag",15,"0.7"
"241","csci_Wet_BFL_Mag_10_15_0.7",-12.1874018256251,10.0726650498995,-12.1874018256251,10.0726650498995,-15.7244641600446,29.9468907853404,-2.4134707211341,1.45084648797905,-14.7353021530547,28.0135954750204,-12.3945750211554,10.2944100253262,-13.0138224622489,11.0099460979151,79019,"csci","Wet_BFL_Mag_10",15,"0.7"
