"","masterid","sampleyear","MetricValue","deltah_final","hydro.endpoints","ChannelType","csci_Incr","RelChangeInDeltaINC","Threshold","Lower2","Upper2","NoFlowProblem","HealthyCSCI","RelChangeInDelta","Categories","MaxScore"
"29","SMC04532",2012,0.64466926,15.4134874292374,"DS_Mag_50","HB",0.74466926,67.73,"NAT",-11.2137267672896,1.96772076875167,"No","No",87.2337731627227,"Type E",0.64466926
"30","905M21721",2015,0.67998428,1.83007267732268,"DS_Mag_50","NAT",0.77998428,48.09,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.67998428
"31","906M21770",2018,0.61784957,16.4486207958708,"DS_Mag_50","HB",0.71784957,60.49,"NAT",-11.2137267672896,1.96772076875167,"No","No",88.0371686284747,"Type E",0.61784957
"32","SMC01772",2012,0.5946632,50.3184219946719,"DS_Mag_50","HB",0.6946632,84.58,"NAT",-11.2137267672896,1.96772076875167,"No","No",96.0894624856081,"Type E",0.5946632
"33","SMC01824",2012,0.60387461,2.78732467532468,"DS_Mag_50","HB",0.70387461,160.73,"NAT",-11.2137267672896,1.96772076875167,"No","No",29.4046801877337,"Type E",0.60387461
"34","SMC03646",2013,0.53242816,30.8408154345655,"DS_Mag_50","HB",0.63242816,64.1,"NAT",-11.2137267672896,1.96772076875167,"No","No",93.6197511608389,"Type E",0.53242816
"35","SMC06863",2011,0.9775222,0.836883283383284,"DS_Mag_50","NAT",1.0775222,100.37,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",0.9775222
"36","SMC16045",2012,0.50959439,2.49595596070596,"DS_Mag_50","HB",0.60959439,393.04,"NAT",-11.2137267672896,1.96772076875167,"No","No",21.1636423186282,"Type E",0.50959439
"37","402M00002",2015,0.70665225,8.85889618714618,"DS_Mag_50","NAT",0.80665225,94.14,"NAT",-11.2137267672896,1.96772076875167,"No","No",77.7881947459015,"Type E",0.70665225
"38","SMC01320",2022,1.01914883,-0.790368714618715,"DS_Mag_50","NAT",1.11914883,398.55,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",1.01914883
"39","SMC02656",2018,0.46463614,4.08904329004329,"DS_Mag_50","HB",0.56463614,264.12,"NAT",-11.2137267672896,1.96772076875167,"No","No",51.8782113766558,"Type E",0.46463614
"40","801M16957",2019,0.48212764,1.20609981684982,"DS_Mag_50","NAT",0.58212764,1048.84,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.48212764
"41","412M08602",2015,0.41044659,30.8408154345655,"DS_Mag_50","HB",0.51044659,40.01,"NAT",-11.2137267672896,1.96772076875167,"No","No",93.6197511608389,"Type E",0.41044659
"42","412M08616",2016,0.48068983,3.32127322677323,"DS_Mag_50","HB",0.58068983,319.76,"NAT",-11.2137267672896,1.96772076875167,"No","No",40.754023099045,"Type E",0.48068983
"43","SMC17056",2009,0.72649786,10.6977474192474,"DS_Mag_50","NAT",0.82649786,100.02,"NAT",-11.2137267672896,1.96772076875167,"No","No",81.6062139847185,"Type E",0.72649786
"44","SMC04294",2013,0.78366223,1.39869272394273,"DS_Mag_50","NAT",0.88366223,100.09,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.78366223
"45","412M08642",2018,0.69076579,22.7544548784549,"DS_Mag_50","HB",0.79076579,91.63,"NAT",-11.2137267672896,1.96772076875167,"No","No",91.3523713081133,"Type E",0.69076579
