"","metric","Index","Hydro_endpoint","SmoothingFunc","Quantile","ChosenSmth","Threshold","BioThresh","CurveStatus","Lower2","Upper2"
"224","asci_DS_Mag_50","asci","DS_Mag_50",6,0.5,6,"HB",0.87,"Below",0,0
"225","asci_DS_Mag_50","asci","DS_Mag_50",6,0.5,6,"SB0",0.79,"Passes",-19.0611594953611,1699.85358774559
"226","asci_DS_Mag_50","asci","DS_Mag_50",6,0.5,6,"SB2",0.76,"Passes",-6.30214863558164,1699.85358774559
"227","csci_DS_Mag_50","csci","DS_Mag_50",6,0.5,6,"NAT",0.79,"Passes",-12.2624860951032,5.13928450223543
"228","csci_DS_Mag_50","csci","DS_Mag_50",6,0.5,6,"NATMed",0.79,"Passes",-12.2624860951032,5.13928450223543
"229","csci_DS_Mag_50","csci","DS_Mag_50",6,0.5,6,"NATLow",0.63,"Passes",-17.5739099438644,11.80660705966
"230","csci_DS_Mag_50","csci","DS_Mag_50",6,0.5,6,"HB",0.67,"Passes",-16.3840619341569,10.0614315449683
"231","csci_DS_Mag_50","csci","DS_Mag_50",6,0.5,6,"SB0",0.78,"Passes",-12.6559726712034,5.56087606703687
"232","csci_DS_Mag_50","csci","DS_Mag_50",6,0.5,6,"SB2",0.75,"Passes",-13.7661222541683,6.79385255648101
"233","asci_FA_Mag","asci","FA_Mag",6,0.5,6,"NAT",0.86,"Below",0,0
"234","asci_FA_Mag","asci","FA_Mag",6,0.5,6,"NATMed",0.86,"Below",0,0
"235","asci_FA_Mag","asci","FA_Mag",6,0.5,6,"NATLow",0.75,"Below",0,0
"236","asci_FA_Mag","asci","FA_Mag",6,0.5,6,"NATHigh",0.94,"Below",0,0
"237","asci_FA_Mag","asci","FA_Mag",6,0.5,6,"HB",0.87,"Below",0,0
"238","asci_FA_Mag","asci","FA_Mag",6,0.5,6,"SB0",0.79,"Below",0,0
"239","asci_FA_Mag","asci","FA_Mag",6,0.5,6,"SB2",0.76,"Below",0,0
"240","csci_FA_Mag","csci","FA_Mag",6,0.5,6,"NAT",0.79,"Passes",-110.533329162201,64.3593757952564
"241","csci_FA_Mag","csci","FA_Mag",6,0.5,6,"NATMed",0.79,"Passes",-110.533329162201,64.3593757952564
"242","csci_FA_Mag","csci","FA_Mag",6,0.5,6,"NATLow",0.63,"Passes",-202.906379309423,162.568009161221
"243","csci_FA_Mag","csci","FA_Mag",6,0.5,6,"HB",0.67,"Passes",-182.176019988977,138.209914478153
"244","csci_FA_Mag","csci","FA_Mag",6,0.5,6,"SB0",0.78,"Passes",-117.634010195653,71.1279349553872
"245","csci_FA_Mag","csci","FA_Mag",6,0.5,6,"SB2",0.75,"Passes",-137.144943823725,90.2472910409059
"246","asci_SP_Mag","asci","SP_Mag",6,0.5,6,"NAT",0.86,"Passes",-44933.6480255651,1423.69163891019
"247","asci_SP_Mag","asci","SP_Mag",6,0.5,6,"NATMed",0.86,"Passes",-44933.6480255651,1423.69163891019
"248","asci_SP_Mag","asci","SP_Mag",6,0.5,6,"NATLow",0.75,"Passes",-242.782296420041,102.049270363563
"249","asci_SP_Mag","asci","SP_Mag",6,0.5,6,"NATHigh",0.94,"Passes",-44933.6480255651,1546.95919198435
"250","asci_SP_Mag","asci","SP_Mag",6,0.5,6,"HB",0.87,"Passes",-44933.6480255651,1439.37705928509
"251","asci_SP_Mag","asci","SP_Mag",6,0.5,6,"SB0",0.79,"Passes",-44933.6480255651,1310.58392055967
"252","asci_SP_Mag","asci","SP_Mag",6,0.5,6,"SB2",0.76,"Passes",-202.367164078861,75.4619390017313
