"","metric","Index","Hydro_endpoint","SmoothingFunc","Quantile","ChosenSmth","Threshold","BioThresh","CurveStatus","Lower2","Upper2"
"43","csci_Wet_BFL_Mag_10","csci","Wet_BFL_Mag_10",3,0.9,3,"NATHigh",0.92,"Passes",-65.3195616627646,69.2159498765459
"44","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.9,3,"NAT",0.86,"Passes",-175.118199733957,1699.85358774559
"45","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.9,3,"NATMed",0.86,"Passes",-175.118199733957,1699.85358774559
"46","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.9,3,"NATLow",0.75,"Passes",-276.523179084478,1699.85358774559
"47","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.9,3,"NATHigh",0.94,"Passes",-101.368615411512,1699.85358774559
"48","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.9,3,"HB",0.87,"Passes",-165.899529969486,1699.85358774559
"49","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.9,3,"SB0",0.79,"Passes",-239.648710491336,1699.85358774559
"50","asci_Wet_BFL_Mag_50","asci","Wet_BFL_Mag_50",3,0.9,3,"SB2",0.76,"Passes",-267.304567630732,1699.85358774559
"51","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",3,0.9,3,"NAT",0.79,"Above",-44933.6480255651,1699.85358774559
"52","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",3,0.9,3,"NATMed",0.79,"Above",-44933.6480255651,1699.85358774559
"53","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",3,0.9,3,"NATLow",0.63,"Above",-44933.6480255651,1699.85358774559
"54","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",3,0.9,3,"NATHigh",0.92,"Above",-44933.6480255651,1699.85358774559
"55","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",3,0.9,3,"HB",0.67,"Above",-44933.6480255651,1699.85358774559
"56","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",3,0.9,3,"SB0",0.78,"Above",-44933.6480255651,1699.85358774559
"57","csci_Wet_BFL_Mag_50","csci","Wet_BFL_Mag_50",3,0.9,3,"SB2",0.75,"Above",-44933.6480255651,1699.85358774559
"58","asci_Peak_10","asci","Peak_10",3,0.9,3,"NAT",0.86,"Passes",-3639.36261369614,1699.85358774559
"59","asci_Peak_10","asci","Peak_10",3,0.9,3,"NATMed",0.86,"Passes",-3639.36261369614,1699.85358774559
"60","asci_Peak_10","asci","Peak_10",3,0.9,3,"NATLow",0.75,"Passes",-6890.11379332425,1699.85358774559
"61","asci_Peak_10","asci","Peak_10",3,0.9,3,"NATHigh",0.94,"Passes",-1873.32258022247,1699.85358774559
"62","asci_Peak_10","asci","Peak_10",3,0.9,3,"HB",0.87,"Passes",-3403.46189354933,1699.85358774559
"63","asci_Peak_10","asci","Peak_10",3,0.9,3,"SB0",0.79,"Passes",-5511.65111205916,1699.85358774559
"64","asci_Peak_10","asci","Peak_10",3,0.9,3,"SB2",0.76,"Passes",-6510.95603442035,1699.85358774559
"65","csci_Peak_10","csci","Peak_10",3,0.9,3,"NAT",0.79,"Passes",-7465.26155798918,1699.85358774559
"66","csci_Peak_10","csci","Peak_10",3,0.9,3,"NATMed",0.79,"Passes",-7465.26155798918,1699.85358774559
"67","csci_Peak_10","csci","Peak_10",3,0.9,3,"NATHigh",0.92,"Passes",-3808.44251992362,1699.85358774559
"68","csci_Peak_10","csci","Peak_10",3,0.9,3,"SB0",0.78,"Passes",-7908.96431617179,1699.85358774559
