"","ChannelType","hydro.endpoints","Target","Categories","Tally","TotalSites","PercentSites","PercentSitesCT","Flow.Metric.Name","Flow.Component"
"389","All","Peak_2","RefImprovement","Over 50%",17,396,4.29292929292929,22.972972972973,"2-year flood magnitude","Peak flow"
"390","All","Peak_2","BOImprovement","Over 50%",7,359,1.94986072423398,9.45945945945946,"2-year flood magnitude","Peak flow"
"391","All","Peak_2","RefImprovement","Less than 10%",5,396,1.26262626262626,11.6279069767442,"2-year flood magnitude","Peak flow"
"392","All","Peak_2","RefImprovement","10 - 50%",25,396,6.31313131313131,58.1395348837209,"2-year flood magnitude","Peak flow"
"393","All","Peak_2","BOImprovement","10 - 50%",3,359,0.835654596100279,6.97674418604651,"2-year flood magnitude","Peak flow"
"394","All","Peak_2","RefImprovement","Less than 10%",5,396,1.26262626262626,6.75675675675676,"2-year flood magnitude","Peak flow"
"395","All","Peak_2","RefImprovement","No Action",147,396,37.1212121212121,341.860465116279,"2-year flood magnitude","Peak flow"
"396","All","Peak_2","INCImprovement","No Action",147,396,37.1212121212121,341.860465116279,"2-year flood magnitude","Peak flow"
"397","All","Peak_2","BOImprovement","No Action",147,359,40.9470752089136,341.860465116279,"2-year flood magnitude","Peak flow"
"398","All","Peak_5","RefImprovement","10 - 50%",39,396,9.84848484848485,52.7027027027027,"5-year flood magnitude","Peak flow"
"399","All","Peak_5","INCImprovement","Less than 10%",58,396,14.6464646464646,78.3783783783784,"5-year flood magnitude","Peak flow"
"400","All","Peak_5","RefImprovement","No Action",147,396,37.1212121212121,52.6881720430108,"5-year flood magnitude","Peak flow"
"401","All","Peak_5","INCImprovement","No Action",147,396,37.1212121212121,52.6881720430108,"5-year flood magnitude","Peak flow"
"402","All","Peak_5","BOImprovement","No Action",147,349,42.1203438395415,52.6881720430108,"5-year flood magnitude","Peak flow"
"403","All","Peak_5","RefImprovement","Non-flow related",191,396,48.2323232323232,258.108108108108,"5-year flood magnitude","Peak flow"
"404","All","Peak_5","INCImprovement","Non-flow related",191,396,48.2323232323232,258.108108108108,"5-year flood magnitude","Peak flow"
"405","All","Peak_5","BOImprovement","Non-flow related",191,349,54.7277936962751,258.108108108108,"5-year flood magnitude","Peak flow"
"406","All","Peak_5","RefImprovement","Non-flow related",191,396,48.2323232323232,68.4587813620072,"5-year flood magnitude","Peak flow"
"407","All","Peak_5","INCImprovement","Non-flow related",191,396,48.2323232323232,68.4587813620072,"5-year flood magnitude","Peak flow"
"408","All","Peak_5","BOImprovement","Non-flow related",191,349,54.7277936962751,68.4587813620072,"5-year flood magnitude","Peak flow"
"409","All","Peak_5","RefImprovement","Over 50%",17,396,4.29292929292929,6.09318996415771,"5-year flood magnitude","Peak flow"
"410","All","Peak_5","INCImprovement","Less than 10%",58,396,14.6464646464646,20.7885304659498,"5-year flood magnitude","Peak flow"
"411","All","Peak_5","RefImprovement","Over 50%",17,396,4.29292929292929,39.5348837209302,"5-year flood magnitude","Peak flow"
"412","All","Peak_5","INCImprovement","Less than 10%",58,396,14.6464646464646,134.883720930233,"5-year flood magnitude","Peak flow"
"413","All","Peak_5","BOImprovement","Over 50%",7,349,2.00573065902579,16.2790697674419,"5-year flood magnitude","Peak flow"
"414","All","Peak_5","RefImprovement","10 - 50%",39,396,9.84848484848485,13.9784946236559,"5-year flood magnitude","Peak flow"
"415","All","Peak_5","RefImprovement","Less than 10%",2,396,0.505050505050505,2.7027027027027,"5-year flood magnitude","Peak flow"
"416","All","Peak_5","RefImprovement","Non-flow related",191,396,48.2323232323232,444.186046511628,"5-year flood magnitude","Peak flow"
"417","All","Peak_5","INCImprovement","Non-flow related",191,396,48.2323232323232,444.186046511628,"5-year flood magnitude","Peak flow"
"418","All","Peak_5","BOImprovement","Non-flow related",191,349,54.7277936962751,444.186046511628,"5-year flood magnitude","Peak flow"
"419","All","Peak_5","RefImprovement","Over 50%",17,396,4.29292929292929,22.972972972973,"5-year flood magnitude","Peak flow"
"420","All","Peak_5","RefImprovement","10 - 50%",39,396,9.84848484848485,90.6976744186046,"5-year flood magnitude","Peak flow"
"421","All","Peak_5","BOImprovement","Less than 10%",1,349,0.286532951289398,2.32558139534884,"5-year flood magnitude","Peak flow"
"422","All","Peak_5","BOImprovement","10 - 50%",3,349,0.859598853868195,6.97674418604651,"5-year flood magnitude","Peak flow"
"423","All","Peak_5","RefImprovement","No Action",147,396,37.1212121212121,341.860465116279,"5-year flood magnitude","Peak flow"
"424","All","Peak_5","INCImprovement","No Action",147,396,37.1212121212121,341.860465116279,"5-year flood magnitude","Peak flow"
"425","All","Peak_5","BOImprovement","No Action",147,349,42.1203438395415,341.860465116279,"5-year flood magnitude","Peak flow"
"426","All","SP_Mag","RefImprovement","Non-flow related",238,396,60.1010101010101,321.621621621622,"Spring recession magnitude","Spring recession flow"
"427","All","SP_Mag","INCImprovement","Non-flow related",238,396,60.1010101010101,321.621621621622,"Spring recession magnitude","Spring recession flow"
"428","All","SP_Mag","BOImprovement","Non-flow related",238,386,61.6580310880829,321.621621621622,"Spring recession magnitude","Spring recession flow"
"429","All","SP_Mag","RefImprovement","No Action",147,396,37.1212121212121,52.6881720430108,"Spring recession magnitude","Spring recession flow"
"430","All","SP_Mag","INCImprovement","No Action",147,396,37.1212121212121,52.6881720430108,"Spring recession magnitude","Spring recession flow"
"431","All","SP_Mag","BOImprovement","No Action",147,386,38.0829015544041,52.6881720430108,"Spring recession magnitude","Spring recession flow"
"432","All","SP_Mag","RefImprovement","Non-flow related",238,396,60.1010101010101,85.3046594982079,"Spring recession magnitude","Spring recession flow"
"433","All","SP_Mag","INCImprovement","Non-flow related",238,396,60.1010101010101,85.3046594982079,"Spring recession magnitude","Spring recession flow"
"434","All","SP_Mag","BOImprovement","Non-flow related",238,386,61.6580310880829,85.3046594982079,"Spring recession magnitude","Spring recession flow"
"435","All","SP_Mag","RefImprovement","Non-flow related",238,396,60.1010101010101,553.488372093023,"Spring recession magnitude","Spring recession flow"
"436","All","SP_Mag","INCImprovement","Non-flow related",238,396,60.1010101010101,553.488372093023,"Spring recession magnitude","Spring recession flow"
"437","All","SP_Mag","BOImprovement","Non-flow related",238,386,61.6580310880829,553.488372093023,"Spring recession magnitude","Spring recession flow"
"438","All","SP_Mag","RefImprovement","10 - 50%",11,396,2.77777777777778,3.9426523297491,"Spring recession magnitude","Spring recession flow"
"439","All","SP_Mag","INCImprovement","Less than 10%",11,396,2.77777777777778,3.9426523297491,"Spring recession magnitude","Spring recession flow"
"440","All","SP_Mag","RefImprovement","10 - 50%",11,396,2.77777777777778,14.8648648648649,"Spring recession magnitude","Spring recession flow"
"441","All","SP_Mag","INCImprovement","Less than 10%",11,396,2.77777777777778,14.8648648648649,"Spring recession magnitude","Spring recession flow"
"442","All","SP_Mag","RefImprovement","No Action",147,396,37.1212121212121,341.860465116279,"Spring recession magnitude","Spring recession flow"
"443","All","SP_Mag","INCImprovement","No Action",147,396,37.1212121212121,341.860465116279,"Spring recession magnitude","Spring recession flow"
"444","All","SP_Mag","BOImprovement","No Action",147,386,38.0829015544041,341.860465116279,"Spring recession magnitude","Spring recession flow"
"445","All","SP_Mag","RefImprovement","10 - 50%",11,396,2.77777777777778,25.5813953488372,"Spring recession magnitude","Spring recession flow"
"446","All","SP_Mag","INCImprovement","Less than 10%",11,396,2.77777777777778,25.5813953488372,"Spring recession magnitude","Spring recession flow"
"447","All","SP_Mag","BOImprovement","10 - 50%",1,386,0.259067357512953,2.32558139534884,"Spring recession magnitude","Spring recession flow"
"448","All","Wet_BFL_Mag_10","RefImprovement","10 - 50%",44,396,11.1111111111111,59.4594594594595,"Wet-season low baseflow","Wet-season baseflow"
"449","All","Wet_BFL_Mag_10","INCImprovement","Over 50%",84,396,21.2121212121212,113.513513513514,"Wet-season low baseflow","Wet-season baseflow"
"450","All","Wet_BFL_Mag_10","RefImprovement","No Action",147,396,37.1212121212121,52.6881720430108,"Wet-season low baseflow","Wet-season baseflow"
"451","All","Wet_BFL_Mag_10","INCImprovement","No Action",147,396,37.1212121212121,52.6881720430108,"Wet-season low baseflow","Wet-season baseflow"
"452","All","Wet_BFL_Mag_10","BOImprovement","No Action",147,324,45.3703703703704,52.6881720430108,"Wet-season low baseflow","Wet-season baseflow"
"453","All","Wet_BFL_Mag_10","RefImprovement","Non-flow related",164,396,41.4141414141414,221.621621621622,"Wet-season low baseflow","Wet-season baseflow"
"454","All","Wet_BFL_Mag_10","INCImprovement","Non-flow related",164,396,41.4141414141414,221.621621621622,"Wet-season low baseflow","Wet-season baseflow"
"455","All","Wet_BFL_Mag_10","BOImprovement","Non-flow related",164,324,50.6172839506173,221.621621621622,"Wet-season low baseflow","Wet-season baseflow"
"456","All","Wet_BFL_Mag_10","RefImprovement","Non-flow related",164,396,41.4141414141414,58.7813620071685,"Wet-season low baseflow","Wet-season baseflow"
"457","All","Wet_BFL_Mag_10","INCImprovement","Non-flow related",164,396,41.4141414141414,58.7813620071685,"Wet-season low baseflow","Wet-season baseflow"
"458","All","Wet_BFL_Mag_10","BOImprovement","Non-flow related",164,324,50.6172839506173,58.7813620071685,"Wet-season low baseflow","Wet-season baseflow"
"459","All","Wet_BFL_Mag_10","RefImprovement","Over 50%",37,396,9.34343434343434,13.2616487455197,"Wet-season low baseflow","Wet-season baseflow"
"460","All","Wet_BFL_Mag_10","INCImprovement","Over 50%",84,396,21.2121212121212,30.1075268817204,"Wet-season low baseflow","Wet-season baseflow"
