"","masterid","sampleyear","MetricValue","deltah_final","hydro.endpoints","ChannelType","csci_Incr","RelChangeInDeltaINC","Threshold","Lower2","Upper2","NoFlowProblem","HealthyCSCI","RelChangeInDelta","Match","Categories"
"2813","ME-SCR",2011,0.62512939,-2433.15351232101,"Peak_2","NAT",0.72512939,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2814","SMC00873",2020,0.64883298,-8.77042107892109,"Peak_2","NAT",0.74883298,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2815","SMC00873",2009,0.67549758,-8.77042107892109,"Peak_2","NAT",0.77549758,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2816","SMC00873",2014,0.80158903,-8.77042107892109,"Peak_2","NAT",0.90158903,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2817","801STW051",2006,0.47856643,-98.1867629037629,"Peak_2","NAT",0.57856643,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2818","801SAN068",2008,0.81384627,1912.65127522477,"Peak_2","NAT",0.91384627,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2819","801STC071",2008,0.67051649,-246.606396603396,"Peak_2","NAT",0.77051649,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2820","801XXX112",2008,0.8254854,-64.0476113886114,"Peak_2","NAT",0.9254854,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2821","801XXX118",2008,0.73455533,-62.6370752580753,"Peak_2","NAT",0.83455533,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2822","801CYC121",2007,0.62785727,-121.153275224775,"Peak_2","SB0",0.72785727,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2823","801STC149",2008,0.92506659,595.802514652014,"Peak_2","NAT",1.02506659,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2824","801SJR159",2007,0.42759394,-66.9771741591742,"Peak_2","NAT",0.52759394,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2825","801SAR165",2008,0.6596796,-2641.20946570097,"Peak_2","SB0",0.7596796,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2826","802INC172",2006,0.45912239,-59.6148278388278,"Peak_2","NAT",0.55912239,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2827","801BRC184",2009,0.86066201,-534.334702059845,"Peak_2","NAT",0.96066201,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
